,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
Nutn,['e'],[''],['ima'],['i'],['a'],['a'],['ama'],['ke'],['om'],['a'],,['e'],['prkos']
Nuška,['e'],['a'],,['i'],['a'],['a'],['ama'],,['om'],[''],['e'],['o'],['kovač']
Nuškalo,['e'],['u'],['ama'],['i'],['a'],['e'],['ama'],['i'],['om'],['o'],['e'],['e'],['did']
aDuvan,['e'],"['h', 'a']",['ovima'],['i'],['a'],['ka'],['ama'],['i'],['om'],['a'],['e'],['u'],['srpkiN']
abak,['e'],[''],['ima'],['i'],"['k', 'a']",['e'],['ovima'],['e'],['om'],['a'],['ke'],['i'],['cer']
abakus,['e'],['u'],['ima'],['u'],"['a', 'a']",['a'],['ama'],['i'],['om'],[''],['e'],['o'],['budiz']
abažur,['ove'],[''],['ovima'],['i'],['a'],['e'],['ima'],['a'],['om'],['A'],['evi'],['če'],['imbecilnost']
abdikacija,['e'],,['ovima'],['ku'],"['ac', 'a']",['e'],['ima'],['i'],['om'],[''],['i'],['o'],['demonologij']
abdikant,['zove'],['u'],['ima'],['i'],,['a'],['ima'],['i'],['kom'],[''],['e'],['e'],['jidiš']
abdomen,['a'],[''],['ama'],['u'],['a'],['e'],['cima'],['ke'],['om'],['a'],['i'],['o'],['fant']
abeceda,['eve'],['a'],['ima'],['i'],,['a'],['ama'],['i'],['om'],[''],,['li'],['ćuft']
abecedar,['e'],['a'],['ama'],['i'],['a'],['e'],,['a'],['om'],['a'],['ci'],['o'],['fantom']
abecedarij,['ove'],['u'],['ama'],['si'],['a'],['ca'],['ovima'],,['om'],['a'],['i'],['e'],['pečur']
ablacija,['e'],['u'],"['mi', 'a']",['u'],['a'],['a'],['cima'],['e'],['kom'],['a'],['a'],['e'],['treptaj']
ablativ,['e'],[''],,['u'],['a'],['a'],['ama'],['ci'],['om'],[''],['a'],['u'],['dupin']
ablaut,['e'],['st'],"['mi', 'a']",['i'],['a'],['a'],['ima'],['kovi'],['om'],['a'],['e'],['o'],['letovaN']
abnormalnost,['ove'],['u'],['cima'],['i'],['a'],['i'],,['e'],['i'],['k'],['i'],['ne'],['učeNa']
abolicija,['e'],[''],,['i'],['a'],['e'],['ama'],['i'],['om'],['va'],['i'],['u'],['odstrel']
abonent,,['a'],['ama'],['i'],['a'],['e'],['ima'],['e'],['om'],[''],['a'],['i'],['sliv']
abonirAc,['ke'],['e'],['ima'],['cu'],"['ev', 'a']",['a'],['ima'],['e'],['om'],['st'],,['o'],['kompajler']
abonman,['ke'],['ku'],['ama'],['i'],['a'],['ke'],,,['om'],['a'],['i'],['o'],['ajvar']
abortus,['ove'],[''],['ima'],['i'],['a'],['e'],['kama'],['e'],,[''],['ci'],['u'],['formacij']
abrazija,['ke'],['u'],['ovima'],['ci'],['a'],['e'],['ima'],['Ludi'],['om'],['a'],['e'],['u'],['čistk']
abrevijacija,,[''],['ima'],['u'],,['ka'],['ama'],['i'],['om'],[''],['ovi'],"['pč', 'e']",['izdajic']
acetat,,['tku'],['ama'],['i'],"['ov', 'a']",['i'],['ama'],['i'],['om'],['e'],['i'],['e'],['doho']
aceton,['e'],"['c', 'a']",['ama'],['i'],['a'],['a'],['ama'],['e'],['om'],['a'],['ci'],['o'],['sadnic']
ada,,,['ama'],['i'],['a'],['e'],['ama'],['i'],['kom'],['a'],['a'],['u'],['tuži']
adaptacija,['e'],[''],['ima'],['u'],"['ov', 'a']",['a'],['ovima'],['i'],"['a', 'om']",['h'],['i'],['u'],['semafor']
adekvatnost,['e'],['a'],['ama'],['i'],"['hov', 'a']",['a'],['ama'],['e'],['om'],['a'],['ci'],['go'],['kundur']
adherent,['tke'],['a'],['ama'],['i'],"['ac', 'a']",['e'],['ima'],['e'],['hom'],[''],['i'],['u'],['pripravni']
adicija,['e'],['e'],['ima'],['u'],['a'],['a'],['ovima'],['ci'],['om'],['o'],['e'],['u'],['krča']
adjektiv,['tke'],['u'],['ama'],['i'],['a'],['ka'],['ama'],['i'],['kom'],['st'],['ovi'],['o'],['pLuvač']
adjunkt,['e'],['o'],['kama'],['u'],"['h', 'a']",['a'],,['e'],['šću'],['a'],['e'],['o'],['šerijat']
administracija,['ce'],['u'],['cima'],['u'],['a'],['a'],['ima'],['e'],['kom'],['a'],,['e'],['dostupnost']
administrativka,['ke'],['u'],['ima'],['i'],['a'],['e'],['ima'],['i'],['tkom'],['k'],['zi'],['že'],['krst']
administrator,['e'],,['gama'],['u'],['a'],['e'],['ima'],['ovi'],['i'],['e'],['i'],['če'],"['objektiviz', 'm']"
admiral,['kove'],[''],['ima'],['ku'],"['a', 'a']",['a'],['kama'],['ća'],['u'],['a'],['lovi'],['o'],['superlativ']
admiralitet,,['ku'],['ima'],['vi'],,['a'],['ama'],['e'],['om'],['a'],['e'],['e'],['prodi']
admitancija,['e'],['u'],['cima'],['i'],"['ov', 'a']",['a'],['cima'],,['om'],[''],['i'],['o'],['licemerj']
adolescentica,,['u'],['ama'],['i'],"['ac', 'a']",['e'],['ama'],['evi'],['em'],['lAk'],['ci'],['e'],['bajbu']
adopcija,['ke'],['u'],['čevima'],['ci'],['a'],['a'],['ima'],['i'],['kom'],[''],['e'],['e'],['kunić']
adoptacija,['e'],['u'],['ima'],['i'],"['ov', 'a']",['a'],['ama'],['zi'],['kom'],['a'],,['u'],['imeNa']
adoracija,['e'],['a'],['cima'],['u'],['a'],['ke'],['ima'],['i'],['i'],['a'],['i'],['ško'],['ustaš']
adorator,['ove'],['u'],['ima'],['u'],['a'],['ke'],"['mi', 'a']",['sci'],['om'],[''],['e'],['u'],['škic']
adoratorica,['ce'],[''],['ama'],['etu'],['li'],['e'],,,['om'],[''],['ci'],['e'],['fluor']
adresa,['e'],['u'],['ama'],['u'],"['ac', 'a']",['a'],['cima'],['ovi'],['om'],['a'],['e'],['o'],['ustan']
adresant,['e'],['o'],['ama'],['i'],,['e'],['ama'],,['om'],[''],['e'],['u'],['siroča']
adresar,,"['A', 'm']",['ama'],['u'],"['ac', 'a']",['i'],['ama'],['ovi'],['om'],[''],['ke'],['le'],"['nik', 'l']"
adresat,['e'],['u'],['ama'],['u'],"['k', 'a']",['a'],['ima'],['ci'],['kom'],['a'],['ci'],['o'],['trećin']
adut,['tke'],['u'],['ama'],['i'],['a'],['a'],,['i'],['em'],[''],['ovi'],['o'],['plam']
advent,['e'],['u'],['ama'],['gu'],['a'],['a'],['ama'],['ke'],['om'],['a'],,['o'],['obzorj']
adventist,['a'],"['k', 'a']",['ima'],['i'],['a'],['i'],['čevima'],['e'],['om'],[''],['e'],['u'],"['oleand', 'r']"
adventistica,['ove'],['u'],['ima'],['i'],['a'],['a'],['ama'],['di'],['om'],['a'],['i'],['o'],['zavodnic']
adverb,['e'],['u'],['ima'],['i'],['a'],['a'],['ama'],['e'],['om'],[''],['e'],['e'],['voštanic']
advokat,,['k'],,['u'],['a'],['ha'],['ama'],['i'],['om'],['a'],['i'],['u'],['kal']
aerobik,['gove'],[''],['ama'],['cu'],"['a', 'a']",['a'],['ima'],['e'],['om'],[''],,['e'],['bolešLivost']
aerobiologija,['e'],[''],['kama'],['i'],['a'],"['t', 'ka']","['mi', 'a']",['i'],['om'],['a'],['ke'],['o'],['čajni']
aerodinamika,['ke'],['u'],['ima'],['i'],"['ac', 'a']",['e'],,['sci'],['em'],['a'],['ke'],['i'],['obuzetost']
aerodrom,,['u'],,['u'],"['a', 'a']",['a'],['ima'],['e'],['om'],"['A', 'm']","['p', 'ci']",['o'],['smotreno']
aerolit,,['u'],,['i'],,"['t', 'ka']",['ama'],['ci'],['om'],[''],['zi'],['e'],"['ađutan', 't']"
aeromehaničar,['e'],[''],['cima'],['i'],['a'],['a'],['stima'],['kovi'],['kom'],['a'],['e'],['e'],['pričic']
aerosol,['e'],['k'],['ama'],['i'],['a'],['ha'],['ima'],['a'],['kom'],['k'],['ci'],['e'],['ograničeN']
afekt,['e'],[''],['cima'],['u'],,['e'],['ama'],['i'],['om'],['a'],['a'],['ko'],['astronomij']
afektacija,['ke'],[''],['ama'],['inu'],['a'],['a'],['ama'],['i'],['šću'],[''],['a'],['e'],['zanos']
afera,['e'],['u'],['ama'],['u'],,['e'],['ima'],['i'],['kom'],['e'],['i'],['o'],['pretvarač']
afereza,['e'],['u'],['ima'],['i'],['a'],['a'],['ađu'],,['kom'],['a'],['ovi'],['šče'],['susret']
afiks,['e'],['st'],['kama'],['i'],['a'],['e'],,['e'],['i'],[''],['e'],['e'],['prostorij']
afinitet,['je'],"['k', 'a']",['ima'],['u'],['i'],['e'],['cima'],['i'],['om'],[''],['ke'],['e'],['hemičar']
afirmacija,,['o'],['ama'],['ku'],['a'],['e'],['ama'],['e'],['i'],[''],['lovi'],,['rebus']
aforist,['ke'],['u'],['ama'],['i'],['a'],['ina'],['ama'],['e'],['mo'],['ka'],['i'],['e'],['ar']
aforizAm,['ce'],['u'],['ama'],['i'],['a'],['i'],['ama'],['e'],['om'],[''],['e'],['o'],['karanfil']
afrikanizAm,['e'],['u'],['ama'],['u'],"['ak', 'a']",['a'],,['e'],['om'],['a'],['i'],['e'],"['diletan', 't']"
afrikata,['ove'],['u'],['ima'],['i'],['a'],['e'],['ama'],['e'],['em'],['a'],,['o'],['rigidnost']
afrodizijak,['e'],['u'],['ima'],['i'],,['e'],['ima'],['ci'],['om'],['a'],['govi'],['ko'],['strugotin']
aga,['e'],['a'],['cima'],['i'],['a'],['e'],['ama'],['i'],['om'],['va'],['a'],['o'],['vrlin']
agami,['e'],[''],,['u'],,['ka'],['tima'],['i'],['om'],['A'],['e'],['e'],['antropolo']
agava,['ke'],[''],,,['a'],['ka'],['ima'],['e'],['om'],[''],['i'],['e'],['sjaj']
agencija,['e'],[''],['ama'],"['s', 'ku']",['a'],['ta'],['ima'],['i'],['kom'],['k'],['e'],['vo'],['pošast']
agent,['e'],['u'],['ima'],['u'],['a'],['ha'],['ama'],['sti'],['om'],['a'],['ci'],['o'],['filantrop']
agitacija,['i'],[''],,['gu'],['a'],['e'],['ima'],['e'],['om'],[''],['i'],['o'],"['đetiNst', 'v']"
agitator,['ce'],['a'],['ama'],['sti'],['a'],['a'],['ima'],['e'],['i'],[''],['ci'],['e'],['visinomer']
aglomeracija,['ce'],['a'],['ima'],['u'],,['e'],['cima'],['e'],['om'],['a'],['a'],['o'],['tam']
aglomerat,['e'],['u'],['ovima'],['u'],['a'],['a'],,['zi'],['om'],['k'],['i'],['o'],['krovopokrivač']
aglutinacija,['ce'],[''],['ama'],['u'],['a'],['a'],['ovima'],['e'],['om'],['a'],['e'],['e'],['trgovin']
agnosticizAm,,"['k', 'a']",['ima'],['u'],"['ac', 'a']",['ka'],"['š', 'cima']",['i'],['i'],[''],['i'],[''],['sajmišt']
agnostik,,['a'],['ima'],['u'],"['h', 'a']",['e'],['ima'],['e'],['om'],['a'],,['če'],['rep']
agnostičar,['e'],['u'],['ama'],['ku'],['a'],['e'],['ima'],['ovi'],['mo'],['a'],['šci'],['e'],['vetreuš']
agnostičarka,,"['k', 'a']",['ima'],,['a'],['eta'],['ima'],['e'],['om'],['Ak'],['ci'],['o'],['vešernic']
agonija,['e'],['ina'],,['i'],"['a', 'a']",['e'],['ima'],['i'],['om'],['a'],['e'],['e'],['obruč']
agresija,['ke'],[''],['ama'],['u'],,['e'],['ima'],['ge'],['om'],['ka'],['e'],['ko'],['umivaoni']
agresivnost,['e'],['k'],['ima'],['ku'],,['i'],['ima'],['e'],['em'],['k'],['ci'],['u'],['gard']
agresor,['a'],['u'],['ima'],['i'],['a'],['ke'],['cima'],['i'],['om'],[''],,['e'],['drač']
agrikultura,['e'],['u'],['ima'],['sti'],['a'],['a'],['ima'],['e'],['kom'],['e'],['e'],['u'],['stup']
agronom,['ove'],['st'],['ima'],['i'],['a'],['e'],['ama'],['i'],['mo'],[''],,['e'],['lumbrel']
ajatolah,['e'],['u'],['ima'],['u'],['a'],['a'],['ama'],['i'],['em'],[''],['ci'],['e'],['bezopasnost']
ajkula,['e'],['a'],['ima'],['i'],"['a', 'a']",['e'],['cima'],['e'],['om'],[''],['i'],['o'],['kolev']
ajvar,['e'],[''],,['u'],,['i'],['ama'],['i'],['om'],['a'],['i'],['u'],['fotografij']
akademija,['a'],['u'],,['u'],"['a', 'a']",['e'],['ima'],['e'],['em'],['a'],['a'],['o'],['kirij']
akademik,,"['k', 'a']",['ama'],['i'],['i'],['a'],['cima'],['sli'],['kom'],['a'],['e'],['u'],['prirodnost']
akceleracija,['e'],['u'],['ima'],['i'],['sti'],['a'],['ima'],['ci'],['om'],[''],['i'],['e'],['bledoć']
akcelerator,,['u'],['kama'],['sti'],['a'],['a'],['kama'],['oci'],['kom'],[''],['ovi'],['sti'],"['gov', 'n']"
akcenAt,['e'],[''],['ovima'],['u'],['a'],['e'],['ima'],['ci'],['om'],['a'],['i'],['če'],['ptić']
akcent,['a'],['u'],"['mi', 'a']",['i'],['a'],['a'],['ama'],['e'],['om'],['lAc'],['ci'],['e'],['lukav']
akceptor,['ke'],['u'],['ima'],['u'],['a'],['a'],['ama'],,['om'],['a'],['ovi'],['e'],"['štib', 'r']"
akcija,['e'],['o'],['ama'],['i'],['ga'],['ka'],['kama'],['e'],['om'],[''],['i'],['ko'],['met']
aklamacija,['ke'],[''],['ima'],['gu'],['a'],['e'],['ama'],['i'],['om'],['A'],['e'],['o'],['krugoval']
aklimatizacija,,['e'],['ima'],['ci'],['a'],['e'],['ima'],['i'],['i'],['a'],['e'],['o'],['stono']
akomodacija,['e'],['u'],['ovima'],['i'],['a'],['a'],,['ci'],['om'],[''],['ci'],['e'],['upit']
akontacija,['e'],['u'],['cima'],['i'],['a'],['e'],['gama'],['ad'],['i'],[''],['e'],['o'],['zaručnic']
akord,['e'],['a'],['ama'],['ku'],['sti'],['e'],['ima'],,['om'],[''],['ke'],['o'],['rodnic']
akra,['e'],['gu'],['ima'],['i'],"['ac', 'a']",['e'],['ovima'],['a'],['em'],['k'],['ci'],['o'],['paleografij']
akreditiv,['e'],[''],['ima'],['i'],,['a'],['ima'],['sti'],['kom'],['lAc'],,['če'],['obor']
akrobacija,['e'],['u'],['govima'],['i'],['a'],['a'],['ima'],['i'],['om'],[''],['ke'],['i'],['krimić']
akrobat,,['u'],['ama'],['jelu'],"['ak', 'a']",['a'],['ama'],['e'],['em'],['ga'],,['o'],['lopuž']
akromegalija,['e'],['e'],['ama'],['i'],,['a'],['ama'],['ci'],['em'],['a'],['i'],['i'],['apotekar']
akronim,['e'],['u'],['ima'],['u'],['a'],['e'],['ima'],['i'],['om'],['k'],['i'],['e'],['preduzeć']
akropola,['e'],[''],['stima'],['u'],"['lov', 'a']",['a'],,['zi'],['om'],['a'],['ci'],['o'],"['čis', 'l']"
akrostih,['e'],['a'],['ima'],['i'],"['k', 'a']",['a'],['kama'],['e'],['kom'],['k'],['ovi'],['e'],['luster']
aksiom,['e'],[''],['evima'],['ocu'],['a'],['tke'],['ama'],['e'],['om'],['Ak'],['e'],['o'],['škver']
akt,,['a'],,['u'],['a'],['e'],['ama'],['e'],['om'],[''],['a'],['e'],['antimaterij']
akter,['tke'],[''],['ima'],['i'],['a'],['a'],,['ci'],['cem'],['g'],['e'],['sti'],['tel']
aktivacija,['ke'],['a'],['ama'],['i'],['a'],['ca'],['evima'],['e'],['om'],['a'],,['u'],['kikot']
aktivist,['eve'],['u'],['cima'],['cu'],['a'],['a'],,['ri'],['om'],[''],['e'],['u'],"['ekumeniz', 'm']"
aktivistkiNa,['e'],['u'],,['u'],['a'],['a'],['ama'],['e'],['om'],[''],['i'],['i'],['severozapad']
aktivizAm,['ge'],['u'],['ima'],['u'],"['a', 'a']","['n', 'a']",['ama'],['i'],['cem'],[''],['i'],['e'],['mangup']
aktivnost,"['t', 'a']",[''],,['u'],['a'],['a'],['cima'],['i'],['om'],['bAc'],['e'],['e'],['krmetin']
aktovka,['e'],['u'],['ama'],['u'],['a'],['a'],['ama'],['e'],['om'],['ka'],['i'],['u'],['pijan']
akulturacija,['e'],"['L', 'a']",['cima'],['cu'],,['ga'],['ama'],['e'],['i'],[''],['e'],['e'],['kozmografij']
akumulacija,['e'],['zAk'],['cima'],['u'],['a'],['a'],['ima'],['e'],['em'],['a'],['e'],['e'],['cepiv']
akumulator,['e'],['u'],['ima'],['u'],,['i'],['ama'],['e'],['om'],['k'],['i'],['i'],['skelet']
akustika,['e'],"['k', 'a']",['ima'],['i'],"['c', 'a']",['i'],['cima'],['ge'],['om'],[''],['ve'],['o'],['koridor']
akuzativ,['ge'],"['k', 'a']",['ima'],['i'],['staka'],['ka'],['ima'],['i'],['om'],[''],['i'],['e'],['neđeL']
akvanaut,['e'],[''],,['u'],,['e'],['ama'],['i'],['om'],[''],['e'],['o'],['prisluškivač']
akvarel,['e'],['u'],['ama'],['u'],['a'],['a'],['ovima'],['e'],['om'],['a'],['e'],['e'],['besmis']
akvizicija,['e'],['u'],"['mi', 'a']",['hu'],['a'],['a'],['ima'],,['om'],['A'],['i'],['e'],['februar']
alarm,['e'],['e'],['ima'],['u'],"['k', 'a']",['a'],['kama'],['sti'],['om'],[''],,['e'],['fizioterapeutkiN']
alat,['e'],['e'],['ama'],['ku'],['a'],['ja'],,['oci'],['vom'],[''],['e'],['o'],['nagon']
albanolog,,['u'],['ama'],['u'],['a'],['a'],['ima'],['i'],['i'],[''],,['ce'],['metionin']
albanološkiNa,['e'],['st'],['ima'],['i'],['a'],['e'],['ima'],['e'],['om'],[''],['e'],['o'],['reorganizacij']
albatros,['e'],['e'],['ama'],['ku'],['a'],['ga'],['ama'],['ovi'],['om'],['a'],,['e'],['sevdalij']
albin,['e'],['o'],['ima'],['u'],['a'],['e'],['ima'],['e'],['jem'],[''],['e'],['o'],['klip']
albino,['e'],[''],['ama'],['u'],['a'],['a'],['ima'],['e'],['om'],[''],['sti'],['e'],['širajzl']
albit,['ke'],['k'],,['u'],"['k', 'a']",['e'],['ama'],['i'],['om'],['k'],['i'],['o'],['ćelij']
album,['e'],['e'],['cima'],['u'],['a'],['a'],['ama'],['i'],,,['i'],['o'],['sredin']
alegorija,['e'],['sAk'],['ima'],['i'],['a'],['e'],['ama'],['i'],['om'],[''],['sti'],['o'],['jaj']
alergija,['ke'],[''],['ama'],['u'],['a'],['e'],,['ci'],['om'],[''],['i'],['e'],['glavoN']
alergičnost,['e'],['tAk'],['ama'],['u'],['a'],['e'],['ima'],['e'],['om'],[''],['i'],['u'],['kapuLač']
alergolog,['a'],['u'],['ima'],['u'],['a'],['e'],['ama'],['zi'],['om'],['a'],,['o'],['ateLe']
alfa,['e'],['u'],['ama'],['i'],"['ac', 'a']",['a'],['ima'],['i'],['om'],[''],['ovi'],['če'],['splavar']
alfabet,['sli'],['u'],,['u'],"['a', 'a']",['a'],['ovima'],['e'],['om'],['ka'],['ovi'],['o'],['mošN']
algebra,['e'],['u'],['ima'],['u'],['a'],['ke'],['cima'],['e'],['om'],['k'],"['n', 'a']",['ine'],"['brakolomst', 'v']"
algoritAm,,['u'],['cima'],['u'],['a'],['a'],['ima'],['i'],['om'],[''],['e'],['če'],['samsar']
alibi,['e'],[''],,['u'],"['a', 'a']",['e'],['cima'],['ci'],['i'],['k'],['e'],['e'],['izjav']
aligator,['e'],['A'],['ima'],['i'],['a'],['e'],['ovima'],['i'],['om'],['a'],['e'],['o'],['patricijk']
alijansa,['a'],['u'],['cima'],['ku'],['ga'],['a'],['stima'],['e'],['om'],['e'],,['o'],['utis']
aliteracija,['e'],['A'],['ima'],['ku'],,['a'],['ama'],['e'],['em'],['A'],['e'],['o'],['Lubaznic']
alka,['e'],['u'],['ama'],['u'],['a'],['e'],['ima'],,['om'],['a'],['e'],['o'],['rečic']
alkaloid,['e'],"['k', 'a']",['ama'],['i'],['a'],['a'],['ama'],,['om'],[''],['i'],['o'],['nivo']
alkohol,['ke'],['u'],['ima'],['i'],,['sti'],['ama'],['i'],['gom'],['a'],['e'],['e'],['krivokletni']
alkoholija,['e'],['Ak'],['ama'],['u'],['a'],['e'],['ama'],,['om'],['a'],['evi'],['o'],['puls']
alkoholičar,['i'],[''],['ima'],['i'],['i'],['e'],['ama'],['i'],['om'],[''],['e'],['e'],['komedij']
almanah,['i'],['a'],['kovima'],['di'],"['k', 'a']",['e'],['čevima'],['e'],['om'],['a'],['e'],['o'],['maslinovin']
alofon,['sti'],"['g', 'a']",['ima'],['i'],['i'],['e'],['ima'],['a'],['om'],['Ac'],['e'],['e'],"['rimokatoliciz', 'm']"
alomorf,['e'],['e'],['ama'],['cu'],['a'],['a'],['ama'],['a'],['om'],['e'],['a'],['ko'],['devetoric']
alotrop,['e'],['u'],['ama'],['u'],['a'],['e'],['ama'],['i'],['šću'],['a'],['e'],['o'],"['amfiteat', 'r']"
alpinist,['ke'],['u'],['sima'],['i'],['a'],['e'],['ima'],['i'],['om'],['k'],['e'],['u'],['malter']
alpinizAm,['e'],['u'],['ima'],['i'],['a'],['a'],,['e'],['kom'],['a'],['i'],['e'],['vrhN']
alteracija,['e'],['u'],['ima'],['ku'],"['ac', 'a']",['a'],['jima'],['ke'],['om'],['ka'],['e'],['u'],['halif']
alternacija,['ce'],[''],['ama'],['i'],,['e'],['ama'],['e'],['i'],[''],['oci'],['o'],['pra']
alternativa,['ve'],[''],['ima'],['i'],['i'],['a'],['cima'],['e'],['om'],['k'],['e'],['če'],['puš']
