,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
Lubav,"['p', 'a']",['r'],['zovima'],"['š', 'ku']","['zac', 'a']",['ti'],['om'],"['m', 'a']",['cem'],['lAc'],['di'],['oče'],['prevoj']
Lubavnica,['be'],['gu'],"['ć', 'cima']","['N', 'u']","['zac', 'a']","['t', 'ka']",['jima'],['govi'],"['k', 'cem']",['vo'],['ovi'],,['blokad']
Lubavnik,['love'],['st'],['cima'],['li'],,"['p', 'a']",['slima'],['si'],"['k', 'cem']",['d'],['dci'],['li'],['sviral']
Lubaznica,['eve'],"['j', 'a']",['erima'],"['š', 'ku']","['h', 'a']",['le'],['om'],['e'],"['k', 'cem']",,"['v', 'a']",['Lu'],['antitel']
Lubaznik,"['et', 'a']",['mo'],['cima'],"['k', 'cu']","['a', 'a']","['oc', 'a']",['mima'],"['č', 'ci']",['ću'],['zAc'],['ove'],"['a', 'u']","['abonen', 't']"
Lubica,['čad'],['lAk'],['Ludima'],['nu'],['li'],['eri'],['gama'],['oci'],['Lu'],['zAk'],['ćo'],['Lu'],"['trojst', 'v']"
LubimAc,['ške'],"['N', 'a']","['dci', 'ma']","['š', 'cu']",['ava'],['ha'],['vama'],"['v', 'a']",['lom'],['o'],"['p', 'a']",['li'],['zaposleni']
LubiteL,['ću'],,"['p', 'ima']",['nu'],"['s', 'a']","['s', 'a']",['erima'],"['k', 'ci']","['a', 'kom']",['vo'],['i'],[''],['katan']
LubiteLica,['ši'],['gu'],"['ć', 'cima']",['li'],"['ak', 'a']",['be'],['govima'],['ji'],['eri'],['stAk'],"['c', 'a']",['ško'],"['zaj', 'm']"
Lubičica,['e'],['sAk'],['ama'],['zi'],['u'],['la'],['lovima'],"['j', 'a']",['ću'],['io'],,['vo'],['gazd']
Ludeskara,"['m', 'a']",['stAk'],['kama'],['ome'],['ava'],"['p', 'ca']",['zovima'],['be'],['som'],['e'],['eri'],['gu'],['hotjeN']
Ludina,['ću'],['go'],['i'],['bi'],"['ov', 'a']","['jel', 'a']",['sima'],"['a', 'ci']","['s', 'com']",['zAc'],['eri'],['gu'],['uzic']
Ludožder,['je'],['sAc'],['im'],['ti'],['ama'],['le'],['ama'],"['k', 'ci']",['vom'],['io'],"['c', 'a']",['a'],['pobedni']
Ludstvo,"['p', 'a']",['tAc'],"['k', 'cima']",['inu'],"['tak', 'a']","['p', 'ca']",,['e'],"['a', 'kom']",['ko'],"['a', 'ci']","['N', 'u']","['larpurlartiz', 'm']"
LutNa,['ti'],"['h', 'a']",['jima'],['i'],"['ev', 'a']","['N', 'a']","['ma', 'a']",['oci'],"['ć', 'cem']",['ce'],['e'],['u'],['fiziologij']
Luštura,['gove'],"['s', 'a']","['š', 'cima']","['s', 'ku']",['sti'],['ge'],"['š', 'cima']",['zi'],['com'],['ce'],['ve'],['Lo'],['harlekin']
Nihalo,['ške'],"['a', 'a']",['sima'],['di'],"['lak', 'a']","['š', 'ca']",['rima'],"['j', 'a']",['ju'],['dac'],['ki'],['ne'],['stratosfer']
Niva,['sti'],"['g', 'a']",['erima'],['cu'],"['t', 'a']",['ške'],['Ludima'],"['n', 'a']",['jom'],"['s', 'k']",['le'],['ti'],['kondur']
NurgavAc,['le'],['tAc'],['lima'],"['N', 'u']","['zov', 'a']","['s', 'a']",['hama'],['a'],"['k', 'cem']",['stAk'],"['s', 'kovi']",['tko'],"['altruiz', 'm']"
Nutn,"['N', 'e']","['k', 'c', 'a']",['sima'],['mi'],"['čac', 'a']",['be'],['hama'],['čad'],['som'],['dac'],['a'],['ško'],['memorij']
Nuška,"['m', 'a']",[''],['ma'],['zu'],['di'],['ma'],['Ludima'],['a'],['cem'],['L'],['o'],['ce'],"['sekstan', 't']"
Nuškalo,['gove'],['r'],['čadi'],['cetu'],['gu'],['ca'],"['ć', 'cima']",['ovi'],"['č', 'em']",['Ac'],['ci'],['i'],['posledic']
aDuvan,['a'],['šku'],['Lima'],['u'],['ama'],"['jel', 'a']","['N', 'ima']","['c', 'a']","['p', 'em']",['s'],"['c', 'a']",['gu'],['ćef']
abak,['ge'],['bA'],['kima'],['i'],['a'],['ja'],['em'],"['p', 'i']",['mo'],['ga'],['ki'],['e'],['veselic']
abakus,['ad'],['gu'],"['k', 'cima']","['a', 'ku']","['c', 'a']","['v', 'a']",['škama'],['čevi'],"['s', 'kom']",['sAc'],['čadi'],['bo'],['smeš']
abažur,['a'],"['h', 'a']","['s', 'cima']",['si'],"['ev', 'a']","['p', 'a']",['ama'],['ti'],['hom'],['sAc'],['i'],['ti'],"['krunid', 'b']"
abdikacija,"['k', 'ce']",['zAk'],['stima'],"['N', 'u']",['sli'],"['N', 'a']",['ama'],"['k', 'ci']",['ocem'],"['A', 'm']",['le'],"['t', 'ku']",['bistroumL']
abdikant,"['a', 'e']","['l', 'a']",['tima'],['si'],['a'],"['jel', 'a']",['ađu'],"['p', 'a']","['a', 'kom']",['ho'],"['a', 'ci']",['eri'],['matrijarhat']
abdomen,"['k', 'ce']",['dAc'],['vama'],['inu'],"['gac', 'a']","['o', 'ka']","['k', 'cima']",['Li'],['šću'],['dAc'],"['t', 'a']",['i'],['dvanaesni']
abeceda,['zove'],"['š', 'c', 'a']",['dima'],"['t', 'ku']","['zov', 'a']","['p', 'ca']","['scim', 'a']",['i'],"['k', 'cem']",['c'],['me'],['šče'],['klop']
abecedar,"['š', 'ce']",['ko'],"['dci', 'ma']",['sti'],"['al', 'a']",['ge'],['Lima'],['he'],"['zo', 'm']",['žAc'],['u'],['sli'],['osvetni']
abecedarij,['ću'],['ju'],['stima'],['mi'],"['h', 'a']","['p', 'ca']","['zi', 'ma']",['jeli'],['tkom'],['io'],['u'],['tko'],['čudovišt']
ablacija,['ke'],"['š', 'c', 'a']","['p', 'ima']",['Lu'],['ki'],['ve'],['ađu'],['ići'],['u'],['in'],['i'],"['a', 'u']",['strahot']
ablativ,"['h', 'a']",['hu'],"['p', 'ima']",['di'],['di'],['eta'],['vama'],['ga'],['inom'],"['p', 'e']",['me'],['mo'],['atrofij']
ablaut,"['t', 'a']","['s', 'c', 'a']",['sima'],"['š', 'cu']","['lov', 'a']",['ina'],"['p', 'ima']",['ške'],"['p', 'om']",['dAk'],['me'],['li'],['prirodnost']
abnormalnost,['be'],['vo'],['mima'],"['t', 'ku']","['tac', 'a']","['š', 'ca']","['š', 'cima']","['m', 'a']",['mom'],['ce'],"['s', 'kovi']",['Lu'],['tipkovnic']
abolicija,['i'],[''],['ovima'],"['k', 'cu']","['s', 'a']","['č', 'ca']","['šci', 'ma']",['evi'],['mom'],['sAo'],['je'],"['p', 'e']",['koautor']
abonent,,"['g', 'a']","['dci', 'ma']",['ri'],"['n', 'a']",['eri'],['sima'],"['n', 'ovi']",['cetom'],['d'],['evi'],['di'],['bariton']
abonirAc,"['l', 'ke']",['o'],['vima'],['su'],['ava'],['ha'],['sima'],['govi'],['lom'],['ka'],['lci'],"['a', 'če']",['rvač']
abonman,['ad'],['je'],['jima'],['vu'],['iju'],['eta'],['ma'],"['p', 'i']",['škom'],,"['a', 'i']",['jele'],['ze']
abortus,['ge'],"['N', 'a']",['čadi'],"['ć', 'cu']","['a', 'a']","['jel', 'a']","['sci', 'ma']",['ši'],"['a', 'kom']",['Ao'],"['N', 'i']",['ško'],['čajni']
abrazija,"['p', 'e']","['z', 'a']",['čevima'],['ti'],"['jel', 'a']",[''],['ovima'],['šci'],"['l', 'kom']",['l'],"['t', 'a']",['ho'],"['ciniz', 'm']"
abrevijacija,['tke'],['ce'],['vama'],['sli'],"['jel', 'a']","['z', 'a']","['z', 'ima']","['n', 'ovi']",,['zAk'],['ci'],['eri'],['okarin']
acetat,['jele'],['u'],"['š', 'cima']","['s', 'cu']",['ama'],['tke'],"['ići', 'ma']",['lovi'],['ju'],['t'],['Ludi'],"['a', 'če']",['tarab']
aceton,['me'],['ne'],['gama'],['zu'],"['l', 'a']",['e'],['mama'],['a'],['em'],['g'],['me'],"['kč', 'e']",['kritizerstv']
ada,"['p', 'ce']","['k', 'a']",['sima'],"['š', 'ku']",['ti'],['ha'],['sima'],"['n', 'ovi']",['Lom'],['d'],"['p', 'a']",['šče'],['vetrin']
adaptacija,['se'],['A'],"['mi', 'a']","['š', 'ku']",['ava'],['ga'],['lovima'],['ovi'],['ću'],"['p', 'e']",['sli'],"['a', 'u']",['obran']
adekvatnost,['ši'],['A'],['hovima'],['tu'],"['al', 'a']",['la'],"['s', 'cima']",['jeli'],"['zo', 'm']",['vo'],['Ludi'],['mo'],['komšilu']
adherent,"['n', 'a']",['šku'],"['a', 'cima']",['si'],"['ak', 'a']",['ti'],['im'],['zi'],"['a', 'kom']",['tAc'],"['a', 'ci']",,['foton']
adicija,['ga'],"['c', 'a']",['ovima'],"['p', 'cu']","['kov', 'a']","['p', 'a']",['govima'],['čad'],"['jel', 'om']",['h'],"['h', 'a']",['ko'],"['klat', 'n']"
adjektiv,['hove'],['r'],['rima'],['vu'],"['tak', 'a']",['ve'],['dima'],['be'],['inom'],"['šk', 'a']","['n', 'a']",['a'],['rojalist']
adjunkt,"['s', 'kove']",['Lu'],['erima'],['si'],"['žac', 'a']",['le'],['mama'],['ići'],['lom'],['sAo'],['oci'],['di'],['odaziv']
administracija,['ve'],['dAc'],['mima'],"['s', 'ku']","['hov', 'a']",['ke'],"['a', 'ima']",['ške'],['bom'],['a'],['hovi'],['ne'],['trijumvir']
administrativka,['ke'],"['v', 'a']",['hovima'],['di'],['li'],['ma'],['vima'],['e'],['čovekom'],"['L', 'a']","['p', 'a']",['Lu'],['maćeh']
administrator,['li'],['h'],['ma'],['ku'],,['tke'],['vama'],['lovi'],['im'],['lAk'],['tke'],"['a', 'če']",['štand']
admiral,['eve'],['tAk'],['ocima'],['Li'],"['čac', 'a']",['tke'],['etima'],"['a', 'i']",['ma'],['čovek'],"['n', 'a']",['u'],['spiker']
admiralitet,"['ć', 'ce']","['l', 'a']",['Lama'],[''],"['čev', 'a']",[''],['mima'],['ga'],['ocem'],['ka'],['evi'],['šče'],['zatočeni']
admitancija,['tke'],['dAk'],['stima'],['zi'],['čadi'],"['k', 'ca']",['cima'],['ga'],['mom'],['ma'],['mi'],['tko'],['vojs']
adolescentica,['ge'],['ta'],['čadi'],['di'],['adi'],['ve'],['kama'],"['p', 'a']",['li'],['c'],"['p', 'ci']","['s', 'ku']",['adres']
adopcija,"['a', 'e']","['p', 'e']","['sci', 'ma']",[''],"['čac', 'a']","['s', 'a']",['ma'],"['a', 'ci']","['a', 'kom']",['sAk'],['je'],"['N', 'u']",['žabar']
adoptacija,['eve'],['er'],"['k', 'cima']","['ć', 'cu']",['ki'],['be'],"['sci', 'ma']",['ci'],['ocem'],['z'],['sci'],['ško'],['fetiš']
adoracija,['ši'],['ina'],['hovima'],['ku'],"['čev', 'a']","['a', 'ka']",['jama'],['ci'],['kom'],['dAk'],['le'],"['N', 'u']",['groz']
adorator,['a'],['šku'],['ama'],"['š', 'ku']","['ić', 'a']","['L', 'a']",['vama'],['jeli'],"['p', 'om']",['o'],['le'],"['ćč', 'e']",['satelit']
adoratorica,['ad'],"['N', 'a']",['rima'],['si'],"['zak', 'a']",['di'],['em'],['Ludi'],"['a', 'om']",['lAk'],['le'],['li'],['dupe']
adresa,['ške'],['a'],"['s', 'cima']",['ci'],"['tak', 'a']",['ti'],"['p', 'ima']",['ad'],['ma'],['ka'],['ove'],['tko'],['zadrugark']
adresant,"['t', 'a']",['lAk'],['evima'],['gu'],['ava'],['a'],"['ma', 'a']",['ga'],['ocem'],"['šk', 'a']","['a', 'ci']",['jo'],['abdomen']
adresar,['me'],['tku'],"['sci', 'ma']","['s', 'ku']","['čev', 'a']",['sti'],['Ludima'],['ške'],"['a', 'om']","['A', 'm']",['zi'],,['tacn']
adresat,['jele'],['mo'],,['vu'],"['dac', 'a']",[''],"['ć', 'cima']",['ci'],['Lom'],['vo'],"['ć', 'ci']","['lč', 'e']",['žleb']
adut,"['n', 'a']","['N', 'a']",['etima'],['tu'],['sti'],"['p', 'a']","['z', 'ima']",['čevi'],['tom'],['n'],"['ć', 'ci']",['li'],['bedni']
advent,['je'],"['c', 'a']","['ć', 'cima']",['gu'],"['ev', 'a']","['k', 'ca']",['hama'],['ške'],['i'],,['di'],['gu'],['blog']
adventist,"['n', 'a']",['je'],"['mi', 'a']",['gu'],"['v', 'a']",['he'],['gama'],['ji'],['ju'],['h'],"['t', 'a']",['sti'],['stadion']
adventistica,"['k', 'ce']",['c'],['čevima'],['ku'],"['čev', 'a']",['a'],['škama'],['si'],['li'],['s'],['sci'],['šče'],['starateL']
adverb,['le'],"['L', 'a']",['nima'],"['a', 'ku']","['dac', 'a']",['be'],['ćom'],"['p', 'i']",['Lom'],['n'],['sti'],['eri'],['onanij']
advokat,['li'],['dAc'],['Ludima'],"['š', 'cu']","['j', 'a']",['ja'],"['ići', 'ma']",['ke'],['i'],['sAk'],['o'],['jo'],['zablud']
aerobik,['ške'],['A'],['etima'],"['N', 'u']","['gov', 'a']",['le'],['šima'],['ri'],['bom'],['s'],['Li'],,['poziv']
aerobiologija,"['p', 'a']",['l'],"['zi', 'ma']",['zu'],['gu'],"['jel', 'a']",['erima'],['ci'],['kom'],['sAk'],['ve'],['gu'],['fiškal']
aerodinamika,"['l', 'ke']",['ina'],['slima'],"['s', 'ku']","['al', 'a']",['sli'],['tkama'],['le'],['li'],['v'],"['p', 'i']",['ke'],['badNa']
aerodrom,"['d', 'ke']","['oc', 'a']","['s', 'cima']",['čoveku'],['gu'],"['oc', 'a']",['lima'],['jeli'],['ma'],['sAc'],"['v', 'a']",['sli'],['dijet']
aerolit,['eri'],"['h', 'a']","['s', 'kovima']","['a', 'u']","['zov', 'a']","['L', 'a']",['adi'],"['j', 'a']",['šću'],['k'],"['t', 'a']",['ne'],['suprotno']
aeromehaničar,['ve'],['sAo'],['nima'],['tu'],['ci'],[''],['Lima'],['čad'],['đu'],['g'],['sli'],"['N', 'u']",['pen']
aerosol,['zove'],['o'],['bama'],['zi'],['ava'],['ve'],['em'],"['c', 'a']",['tom'],['Ao'],"['j', 'a']",['ne'],['fok']
afekt,['me'],"['A', 'm']","['p', 'cima']",['inu'],"['gov', 'a']",['a'],"['dci', 'ma']",['kovi'],"['a', 'om']",['o'],['di'],['go'],['sopranistic']
afektacija,['je'],['Ao'],"['š', 'cima']",['ti'],['ti'],"['n', 'a']","['s', 'kovima']",,['gom'],['gAc'],"['p', 'i']",['o'],['svetic']
afera,['be'],"['a', 'a']",['mima'],['bi'],['adi'],"['jel', 'a']",['gama'],['ge'],['com'],['Ao'],['si'],"['s', 'ku']",['ravnin']
afereza,"['h', 'a']",['ćAc'],"['ć', 'cima']",['ome'],['li'],['ka'],['čevima'],"['n', 'a']",['mo'],"['p', 'e']",['zovi'],['vo'],['šilteric']
afiks,"['c', 'a']",,['i'],['etu'],"['j', 'a']",['tke'],['ađu'],"['et', 'a']",['kom'],['bA'],['zi'],,['mauzolej']
afinitet,['je'],['zAc'],['čevima'],['Li'],['gu'],['eri'],['kima'],['dci'],"['č', 'em']",['zAk'],['je'],['ne'],['odnos']
afirmacija,"['t', 'a']",['je'],['Lama'],"['š', 'ku']","['bac', 'a']",['ga'],['čađu'],['govi'],['šLu'],['io'],['Li'],['ku'],['hadron']
aforist,['ad'],['tAk'],['kima'],['su'],['čadi'],['le'],['adi'],['ri'],"['s', 'kom']",['ćAc'],['lci'],"['lč', 'e']",['radiš']
aforizAm,['ške'],['zAk'],['vima'],['nu'],['ri'],['be'],"['lci', 'ma']",['li'],"['a', 'kom']",['tAk'],['dci'],['ško'],['paleontologij']
afrikanizAm,"['l', 'ke']",['vu'],"['šci', 'ma']",['u'],['a'],"['z', 'a']",['nima'],"['et', 'a']",['etom'],['z'],['govi'],['ku'],"['Ludst', 'v']"
afrikata,['me'],"['oc', 'a']",['Ludima'],"['ć', 'cu']",['ju'],['ve'],['em'],['di'],['tkom'],['zAk'],"['c', 'a']",['ku'],['mandarin']
afrodizijak,"['p', 'a']","['j', 'a']","['mi', 'a']",['inu'],"['žak', 'a']",['ha'],"['p', 'cima']",['ške'],['vom'],"['s', 'k']","['m', 'a']",['a'],['procen']
aga,"['p', 'e']",['Ak'],['lima'],['vi'],"['et', 'a']","['L', 'a']",['etima'],['Li'],"['p', 'om']",['n'],"['p', 'a']",['ju'],['bespomoćnost']
agami,['eve'],"['v', 'a']",['mima'],"['p', 'cu']","['čac', 'a']",[''],['gama'],"['n', 'ovi']",['đu'],['ce'],['ki'],['bo'],"['donatiz', 'm']"
agava,"['d', 'ke']",['mo'],['nima'],['su'],"['ba', 'a']","['č', 'ca']",['govima'],['ge'],['eri'],['Ao'],['zovi'],['me'],['digresij']
agencija,"['s', 'ke']",['šku'],"['šci', 'ma']",['Lu'],"['c', 'a']",['tke'],['vama'],['ća'],"['le', 'm']",['lAc'],['oci'],['že'],['brojaN']
agent,['jele'],['ce'],['evima'],"['š', 'ku']",['čadi'],['ta'],['ima'],['Li'],['Lu'],['t'],['jeli'],['ne'],['dvotoč']
agitacija,"['ć', 'ce']",[''],"['k', 'cima']",['ku'],"['tak', 'a']",['li'],['Ludima'],['šci'],['ju'],['ma'],['ji'],['še'],['nestručNa']
agitator,"['ć', 'ce']",['vu'],['kima'],['jelu'],['ju'],"['v', 'a']",['Lima'],"['c', 'a']",['škom'],['ko'],['ići'],['eri'],['dubin']
aglomeracija,['ove'],['Ao'],['Lama'],['zi'],"['čac', 'a']",['ške'],['ovima'],"['c', 'a']",['ću'],['A'],['o'],['jele'],['periskop']
aglomerat,['eve'],['Lu'],['evima'],"['s', 'cu']","['žac', 'a']",['he'],['bama'],['zovi'],['cem'],['lAc'],"['t', 'a']",['jele'],['kanDij']
aglutinacija,['sli'],['tAk'],['ovima'],"['p', 'u']",['ga'],['ma'],['vama'],"['a', 'i']",['bom'],['Ac'],['le'],"['pč', 'e']",['agami']
agnosticizAm,['ke'],['z'],['tima'],['sli'],"['zak', 'a']","['z', 'a']",['kama'],['si'],"['p', 'om']",['sAc'],['tke'],"['lč', 'e']",['lapsus']
agnostik,['ću'],"['t', 'k', 'a']",['Lama'],"['k', 'cu']",['li'],"['n', 'a']",['govima'],['ća'],,['sAc'],['le'],['Ao'],['vla']
agnostičar,"['s', 'ke']",['bA'],['ovima'],"['s', 'ku']",['sli'],"['v', 'a']",['čevima'],['dci'],['Lom'],['stAk'],"['a', 'i']",['vo'],['veroispove']
agnostičarka,"['s', 'ce']","['N', 'a']",['cima'],['eri'],['i'],['me'],['hovima'],['zi'],"['a', 'om']",['in'],['mi'],['ko'],['inteligencij']
agonija,['ške'],"['s', 'k']","['ići', 'ma']",['su'],"['žak', 'a']",['ške'],['ćom'],['ke'],,['sAk'],['ti'],"['ćč', 'e']",['antimaterij']
agresija,['ve'],[''],"['š', 'cima']",['jelu'],"['čac', 'a']","['a', 'ka']",['ima'],"['p', 'i']",['i'],['t'],['Li'],['Lo'],['jarDevan']
agresivnost,['le'],['st'],"['s', 'cima']",['lu'],"['tac', 'a']",['ke'],"['s', 'cima']","['s', 'kovi']",['ocem'],['zAk'],['je'],['me'],['sačm']
agresor,"['a', 'ke']",['vu'],['dima'],"['š', 'cu']",['ki'],"['o', 'ka']","['s', 'kovima']",['oci'],['im'],['Ak'],['lci'],['ho'],"['pleonaz', 'm']"
agrikultura,['Lude'],['io'],['lima'],"['k', 'cu']","['a', 'a']","['p', 'ca']",['Lama'],['di'],['inom'],['sAc'],['di'],['u'],['stareN']
agronom,['ga'],['šku'],"['mi', 'a']",[''],"['a', 'a']",['sti'],"['k', 'cima']",['evi'],['jem'],['o'],"['p', 'a']",['če'],['gospodaric']
ajatolah,['se'],['ce'],"['ma', 'a']","['š', 'cu']","['bac', 'a']",['čoveka'],['etima'],['be'],['cem'],[''],['a'],"['lč', 'e']","['sLed', 'b']"
ajkula,"['s', 'kove']",['ku'],['lima'],['oj'],"['s', 'kov', 'a']",['ha'],['šima'],"['et', 'a']",['etom'],"['h', 'a']",['hovi'],"['a', 'če']",['import']
ajvar,"['s', 'ke']",['ne'],['kovima'],['vu'],,['čoveka'],['etima'],"['p', 'i']","['s', 'kom']",['st'],['govi'],"['pč', 'e']",['dinami']
akademija,['le'],['bAc'],"['ć', 'cima']",['mu'],['u'],['ta'],"['s', 'cima']","['s', 'kovi']",['jem'],['ma'],['Ludi'],['šče'],"['kroatiz', 'm']"
akademik,['eri'],"['j', 'a']",['hovima'],"['š', 'ku']",['ava'],['ma'],['cima'],['sli'],['jom'],['va'],"['t', 'a']",['čoveče'],['album']
akceleracija,['čeve'],['e'],['zovima'],['eri'],"['al', 'a']","['L', 'a']","['ma', 'a']",['čad'],['om'],['čovek'],['ga'],['Lu'],['monoftongizacij']
akcelerator,"['s', 'ce']",['ina'],"['ma', 'a']",['zu'],"['a', 'a']",['ge'],['em'],"['v', 'a']","['s', 'com']",['čovek'],['ji'],['i'],['novotvorenic']
akcenAt,['se'],['hu'],"['a', 'ima']",['nu'],"['tac', 'a']","['s', 'ka']",['tkama'],"['m', 'a']",['em'],"['šk', 'a']",['ove'],['oče'],['bukvi']
akcent,"['a', 'ke']",['r'],['škama'],['ku'],['će'],"['š', 'ka']",['bama'],['ti'],['cem'],['tAk'],['i'],['že'],['nogar']
akceptor,['eri'],['vo'],['škama'],"['t', 'ku']","['ak', 'a']",['me'],['gama'],['Ludi'],"['a', 'om']",['h'],['evi'],"['p', 'e']",['vran']
akcija,"['t', 'a']",['tAc'],['kima'],['nu'],"['ak', 'a']",['ina'],['om'],['sti'],"['p', 'om']",['g'],['ke'],['ho'],"['šoviniz', 'm']"
aklamacija,['sti'],['dAc'],"['scim', 'a']","['a', 'ku']","['gov', 'a']",['tke'],"['z', 'ima']",['ve'],['vom'],['ce'],['ti'],['tko'],['tugaLivost']
aklimatizacija,"['š', 'ce']",['sAk'],['im'],['ku'],['sti'],['eri'],['kima'],['ji'],"['p', 'om']",['je'],['ke'],['ju'],['srić']
akomodacija,['ce'],['tAc'],"['ć', 'cima']","['ć', 'cu']","['a', 'ak', 'a']",,"['lci', 'ma']",['šci'],['jem'],"['j', 'a']","['k', 'ci']","['ćč', 'e']",['obrub']
akontacija,"['c', 'a']",['Ac'],['hama'],['inu'],"['j', 'a']",['tke'],['jama'],['ve'],['ri'],['k'],"['a', 'i']",['ke'],['republi']
akord,['iće'],"['j', 'a']",['dima'],['čoveku'],['staka'],['oga'],['hama'],['ići'],['šLu'],['ma'],['evi'],['ine'],['kNigovodstv']
