,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abonner,"['O', 'ʁ', 'ɔ̃']","['Eɲ', 'ɔ̃']","['ɔ', 'ʁ']",['aʃjɔ̃'],['ɑ̃dʁE'],['iz'],['lyt'],['ja'],['ʁisje'],['əvʁije'],['udʁE'],"['k', 'is']",['ʁɔ̃'],"['uv', 'ʁa']","['p', 'is']",['i'],['aly'],['ɔ'],"['O', 'ɔ̃']",['a'],"['ø', 'E']","['waE', 'jE']",['lyʁ'],['aɲ'],['œ'],"['E', 'E']",['aki'],"['ɛ̃dʁ', 'ɔ̃']",['ɛ̃dʁE'],['vʁe'],['jiʁa'],['zje'],['ø'],"['iv', 'E']","['O', 'ʁiʁ']",['o'],['ti'],"['udʁi', 'jɔ̃']","['ɛ̃s', 'jɔ̃']",['ʁiʁE'],"['əɛ', 'əɛzt', 'zt', 'e']","['k', 'im']","['ə', 'e']","['p', 'je']","['v', 'i']",['Ejɑ̃'],"['e', 'E', 'e']",['ɛ̃s'],['yəʁE'],"['sw', 'a']",['aʃ'],['ɑ̃dikap']
abonnir,"['wEa', 'Ea', 'jɔ̃']","['ø', 'ɔ̃']",['nan'],['asjɔ̃'],"['O', 'ʁiʁE']",['s'],"['t', 'it']","['O', 'ʁi']",['uasje'],['səʁje'],"['ud', 'ʁE']","['ø', 'as']","['waE', 'waEʁ', 'ɔ̃']","['Oʁ', 'a']",['Etis'],['iz'],['nan'],"['wa', 'jE']","['O', 'ʁi', 'jɔ̃']","['wa', 'jE']",['alE'],['yvE'],['ɥEʁ'],['wa'],['u'],"['o', 'E']",['wa'],"['Oʁ', 'ɔ̃']",['tʁE'],['ɛ̃dʁe'],['Etiʁa'],"['əv', 'j', 'e']",['i'],['lE'],['dʁ'],['d'],['ɛ'],['watʁijɔ̃'],"['aɲ', 'isjɔ̃']",['ʁE'],['e'],['nan'],"['iv', 'e']","['ɥisj', 'e']","['ɥ', 'e']",['ənɑ̃'],['uly'],"['e', 'E', 'as']",['jEʁE'],['was'],"['wE', 'aj', 'aj']",['ʁaj']
aborder,"['ʁ', 'ɔ̃']","['ɔlv', 'ɔ̃']",['o'],"['Et', 'jɔ̃']","['Eʁ', 'ʁE']",['ɔ'],"['E', 'at']","['e', 'E', 'a']","['Ekys', 'je']",['Eʁje'],['tiʁE'],"['Eɲ', 'is']","['əi', 'əiʁ', 'ɔ̃']","['iʁ', 'a']","['k', 'is']",['ɔlv'],"['ø', 'a']","['v', 'a']","['Eʁ', 'jɔ̃']",['Oly'],"['Ø', 'E']","['u', 'E']","['Eky', 'ʁ']",['iv'],"['E', 'ɛ']",['nan'],['Eɲi'],"['udʁ', 'ɔ̃']","['E', 'əʁE']","['O', 'ʁiʁ', 'e']","['E', 'əʁa']","['O', 'ʁi', 'je']",['ɛ'],"['w', 'E']","['u', 'iʁ']","['Ø', 'e']",['Et'],['Øvʁijɔ̃'],"['isjɔ̃', 'v']","['Odʁ', 'E']","['ən', 'e']","['p', 'im']",['me'],"['ø', 'je']",['vi'],"['ə', 'ɑ̃']",['oz'],"['u', 'ys']","['waE', 'waEʁE']",['t'],['z'],['tʁiʃ']
aboucher,['jɔ̃'],"['uv', 'ɔ̃']",['ɔ'],"['Øv', 'jɔ̃']",['əvʁE'],['iv'],['ulyt'],['wa'],['sje'],['jɛ̃dʁije'],"['udʁ', 'E']",['mis'],"['dʁ', 'ɔ̃']",['Øvʁa'],"['p', 'is']",['ɥis'],"['Ø', 'i']",['u'],"['O', 'ʁi', 'jɔ̃']",['fy'],['nan'],"['Eɲ', 'E']","['aɲ', 'iʁ']",['y'],['ø'],['sE'],"['u', 'y']","['əʁ', 'ɔ̃']",['EtʁE'],"['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']","['av', 'je']",['jɛʁ'],"['j', 'E']","['ø', 'e']",['d'],['mi'],"['əi', 'əiʁjɔ̃']",['zisjɔ̃'],['əvʁE'],"['e', 'e']",['vim'],['Eɲe'],['zje'],['ɛt'],['ɔlvɑ̃'],['ji'],"['Eɲ', 'is']","['wj', 'wjEa', 'Eaʁ', 'E']",['p'],"['a', 'j']",['dEpav']
abouler,"['e', 'E', 'ɔ̃']","['O', 'ɔ̃']",['ʁ'],"['m', 'jɔ̃']","['ʁ', 'E']",['jɛn'],"['o', 'at']",['fy'],['ysje'],['Oʁje'],['əʁE'],['ys'],['ʁɔ̃'],"['əi', 'əiʁa']","['p', 'is']","['E', 'ɛ']",['aly'],['ɑ̃'],"['e', 'E', 'ɔ̃']","['u', 'y']",['izE'],"['E', 'v']","['aɲ', 'iʁ']",['al'],"['ɔ', 'ʁ']",['tE'],"['Ø', 'a']","['dʁ', 'ɔ̃']",['əʁE'],"['viʁ', 'e']",['uvʁa'],"['iv', 'je']",['u'],['ɥE'],['ʁ'],['Et'],"['O', 'e']","['ud', 'ʁijɔ̃']",['visjɔ̃'],['iʁE'],"['əɛ', 'əɛzt', 'zt', 'e']","['ə', 'am']","['ɥ', 'e']","['was', 'je']","['ɥ', 'e']",['kɑ̃'],"['j', 'e']","['u', 'ys']",['əʁE'],['ø'],['j'],['ɑ̃kʁist']
aboutir,"['j', 'ɔ̃']","['Et', 'ɔ̃']",['E'],['izjɔ̃'],['udʁE'],['was'],['zit'],['aki'],['jasje'],['jɛ̃dʁije'],['EʁʁE'],['Eɲis'],"['ɔ', 'əʁ', 'ɔ̃']",['dʁa'],['jis'],['p'],"['i', 'v']",['u'],"['Ø', 'ɔ̃']","['O', 'E']",['izE'],"['t', 'E']",['jEʁ'],['œ'],['ɑ̃'],"['o', 'E']",['Eɲi'],"['Eʁ', 'ɔ̃']","['od', 'ʁE']","['uv', 'ʁe']",['pʁa'],"['ə', 'je']",['i'],['lE'],"['w', 'e']",['vi'],"['E', 'e']",['tiʁjɔ̃'],"['o', 'asjɔ̃']",['əvʁE'],['ze'],"['e', 'am']","['oz', 'e']",['nan'],['iz'],['ɑ̃'],['iz'],['ɥas'],['dʁE'],['t'],"['wE', 'aj', 'aj']",['avi']
aboyer,"['s', 'ɔ̃']","['u', 'ɔ̃']",['i'],['yvjɔ̃'],"['udʁ', 'E']",['ø'],['ɛ̃t'],['nan'],['isje'],"['y', 'ʁje']",['kʁE'],['ys'],"['E', 'əʁ', 'ɔ̃']",['jɛ̃dʁa'],['jis'],"['ɔ', 'ʁ']","['ø', 'a']",['y'],"['E', 'jɔ̃']","['Eɲ', 'i']",['EzE'],"['ə', 'n', 'E']","['y', 'ʁ']","['v', 'ɔ̃']",['ø'],['sE'],['nan'],"['Etʁ', 'ɔ̃']",['miʁE'],"['Eʁʁ', 'e']",['dʁa'],"['e', 'je']",['a'],"['w', 'E']","['al', 'e']","['w', 'e']",['i'],['viʁjɔ̃'],"['is', 'jɔ̃']",['jɛ̃dʁE'],"['l', 'e']",['zim'],"['e', 'E', 'e']","['e', 'je']","['O', 'ʁt']","['o', 'ɑ̃']","['wa', 'je']",['alas'],"['Øv', 'ʁE']",['ɛs'],['ɔlv'],"['ʁəv', 't']"
abreuver,"['O', 'ɔ̃']","['Ez', 'ɔ̃']",['ɑ̃'],['aʃjɔ̃'],['pʁE'],['m'],"['it', 'v']","['k', 'i']","['ysj', 'e']","['ɔ', 'əʁje']",['səʁE'],['alys'],"['od', 'ʁ', 'ɔ̃']","['Ø', 'əʁa']","['E', 'as']",['E'],['uly'],['ɛ̃'],['jɔ̃'],['Oly'],['ozE'],"['ɔlv', 'E']","['wa', 'jEʁ']",['ɛɲ'],['wa'],"['al', 'E']",['aly'],"['Øvʁ', 'ɔ̃']","['əv', 'ʁE']","['dʁ', 'e']",['udʁa'],"['z', 'j', 'e']",['wa'],['nan'],[''],['i'],['aly'],"['Odʁi', 'jɔ̃']",['zisjɔ̃'],"['Eʁ', 'E']","['k', 'e']",['Etim'],"['wa', 'je']","['O', 'je']",['z'],['Øvɑ̃'],['ji'],"['t', 'is']",['əʁE'],['y'],"['a', 'j']","['agʁ', 'ʒ']"
abriter,['jɔ̃'],"['e', 'E', 'ɔ̃']",['u'],"['ø', 'jɔ̃']",['watʁE'],['jɛʁ'],"['Ø', 'it']",['a'],"['zisj', 'e']",['Oʁje'],"['e', 'E', 'əʁE']",['s'],"['tiʁ', 'ɔ̃']",['nan'],['s'],['ɔlv'],"['E', 'a']",['u'],"['av', 'jɔ̃']","['p', 'i']",['ənE'],['əzE'],['lyʁ'],['aɲ'],['u'],"['Es', 'E']",['a'],"['yəʁ', 'ɔ̃']",['əʁE'],"['ɛ̃d', 'ʁ', 'e']",['əʁa'],"['Eʁ', 'je']",['ø'],['E'],"['ɥ', 'e']",['d'],"['ø', 'e']","['ud', 'ʁijɔ̃']","['ɛ̃s', 'jɔ̃']","['waE', 'waEʁE']","['ɥisj', 'e']",['Ekym'],"['yv', 'e']","['y', 'je']","['ø', 'e']","['E', 'jɑ̃']",['iz'],['ulys'],"['O', 'ʁiʁE']",['jɛʁ'],"['waE', 'j']",['panaʃ']
abroger,"['Eʁ', 'ɔ̃']","['j', 'ɔ̃']",['y'],"['m', 'jɔ̃']",['nan'],['nan'],['jat'],"['p', 'i']","['fys', 'je']",['watʁije'],['miʁE'],['ys'],"['jɛ̃d', 'ʁɔ̃']",['ɑ̃dʁa'],"['Eɲ', 'is']",['v'],"['e', 'E', 'a']","['v', 'a']","['Es', 'jɔ̃']","['ə', 'E']","['O', 'ʁE']",['EjE'],"['ø', 'Eʁ']",['œv'],['wa'],['alE'],['vi'],"['Øvʁ', 'ɔ̃']",['EʁE'],"['əv', 'ʁe']",['udʁa'],"['v', 'je']",['ɛ̃'],"['ul', 'E']","['E', 'e']",['ti'],[''],['tiʁjɔ̃'],"['e', 'E', 'asjɔ̃']","['jɛ̃d', 'ʁE']","['E', 'e']",['nan'],['ze'],['Ezje'],['nan'],"['o', 'ɑ̃']",['Oly'],"['v', 'is']",['tiʁE'],['d'],['E'],"['l', 'z']"
abrutir,"['aɲ', 'ɔ̃']","['was', 'ɔ̃']",['u'],"['ə', 'n', 'jɔ̃']",['səʁE'],"['sw', 'a']",['at'],"['E', 'a']","['u', 'ysje']","['Eʁ', 'je']",['waʁE'],"['aɲ', 'is']","['ɛ', 'əʁ', 'ɔ̃']","['əi', 'əiʁa']","['ə', 'as']",['ɛn'],"['aɲ', 'i']",['wa'],"['ø', 'jɔ̃']",['aki'],"['al', 'E']",['aɲE'],"['e', 'E', 'Eʁ']",['ø'],"['E', 'ɛ']","['O', 'sE']",['ja'],"['tiʁ', 'ɔ̃']",['dʁE'],['pʁe'],"['Oʁ', 'a']",['avje'],[''],"['was', 'E']",['tiʁ'],"['al', 'e']",[''],"['udʁi', 'jɔ̃']",['wajasjɔ̃'],['uvʁE'],['ze'],"['t', 'im']","['Øv', 'e']",['asje'],['d'],['nan'],"['w', 'e']","['ø', 'as']",['ɛ̃dʁE'],"['ɛ', 'j']",['as'],['dEdi']
abréger,"['k', 'ɔ̃']","['v', 'ɔ̃']",['nan'],"['O', 'ɔ̃']","['y', 'ʁE']",['ɛn'],['Ekyt'],['ji'],"['akis', 'je']","['œ', 'əʁje']",['miʁE'],"['j', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['uv', 'ʁa']","['Eɲ', 'is']",['ɛ'],"['aɲ', 'i']","['wa', 'jE']","['Et', 'jɔ̃']","['t', 'i']",['wE'],['wE'],"['d', 'iʁ']",['œ'],['nan'],"['ə', 'E']","['o', 'a']","['pʁ', 'ɔ̃']","['O', 'ʁiʁE']",['Etʁe'],['dʁa'],"['iv', 'je']",['jɛʁ'],"['o', 'E']",['ʁ'],['mi'],"['j', 'e']","['ʁ', 'jɔ̃']",['alasjɔ̃'],"['ɛ̃d', 'ʁE']",['ue'],['ɥam'],"['Ø', 'e']","['ø', 'je']",['ɛt'],"['wEa', 'Ea', 'jɑ̃']","['ə', 'e']","['p', 'is']","['ɛ̃d', 'ʁE']",['iz'],['t'],['sɛ̃bOliz']
absenter,"['e', 'ɔ̃']","['m', 'ɔ̃']","['wa', 'jE']","['y', 'jɔ̃']",['watʁE'],['ɛɲ'],['mit'],"['E', 'a']","['ə', 'asje']",['oaʁje'],['nan'],['Etis'],"['dʁ', 'ɔ̃']",['jiʁa'],['mis'],['ɔlv'],['Eti'],['nan'],"['z', 'j', 'ɔ̃']",['nan'],['izE'],"['iv', 'E']",['nan'],['œl'],"['Ew', 'Ewa']",['wE'],"['Ø', 'a']","['əʁ', 'ɔ̃']",['ɛ̃dʁE'],"['y', 'ʁ', 'e']","['Ø', 'əʁa']","['E', 'e']","['ou', 'oulv']","['av', 'E']",['watʁ'],['z'],['o'],"['wa', 'ʁjɔ̃']","['v', 'isjɔ̃']",['vʁE'],"['Eʁ', 'e']",['fym'],['Ete'],"['i', 'je']",['ut'],['aʃɑ̃'],['nan'],['Eɲis'],['watʁE'],['ɔ'],['ɔlv'],"['amElj', 'ʁ']"
absorber,"['O', 'ɔ̃']","['ʁ', 'ɔ̃']",['jɛʁ'],"['e', 'E', 'ɔ̃']",['waʁE'],['ø'],"['o', 'at']",['y'],['Etisje'],"['Odʁi', 'je']",['oaʁE'],['akis'],"['iʁ', 'ɔ̃']",['aʁa'],"['O', 'ʁis']",['m'],['ɛ̃'],['E'],"['v', 'jɔ̃']",['wE'],['uE'],['EjE'],['jEʁ'],['av'],['ɛ̃'],"['O', 'sE']","['d', 'i']","['əvʁ', 'ɔ̃']",['oʁE'],"['œ', 'əʁ', 'e']",['uvʁa'],['əzje'],"['ou', 'oulv']",['yvE'],"['O', 'e']","['o', 'e']",['p'],['Etiʁjɔ̃'],['wasjɔ̃'],['ivʁE'],"['u', 'e']","['ø', 'am']","['Es', 'e']","['O', 'ʁi', 'je']","['v', 'i']",['mɑ̃'],['ʁt'],"['p', 'is']","['wj', 'wjEa', 'Eaʁ', 'E']",['œ'],['aʃ'],['ʁEgal']
absoudre,"['wa', 'jɔ̃']","['ən', 'ɔ̃']",['ø'],"['O', 'jɔ̃']",['jɛ̃dʁE'],['u'],['akit'],['y'],"['aɲ', 'isje']","['wj', 'wjEa', 'Eaʁje']",['miʁE'],['is'],"['yəʁ', 'ɔ̃']",['dʁa'],"['O', 'ʁis']",[''],['zizi'],"['v', 'a']",['yvjɔ̃'],['Oly'],['jE'],"['E', 'jE']","['e', 'E', 'Eʁ']",['jɛn'],['jɛʁ'],"['ø', 'E']",['Oly'],"['viʁ', 'ɔ̃']","['Eʁ', 'ʁE']","['ʁiʁ', 'e']",['ivʁa'],"['ə', 'je']",['ɛ'],['uE'],"['O', 'e']","['O', 'e']",['uly'],['əʁjɔ̃'],"['t', 'isjɔ̃']",['OʁE'],"['Ø', 'je']","['E', 'am']","['z', 'e']","['was', 'je']",['y'],['Etɑ̃'],['t'],"['o', 'as']","['ʁ', 'E']",['ʁ'],['iz'],"['ilyzj', 'n']"
