,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
ada,"['t', 'a']",['sAk'],['lima'],[''],['ti'],"['š', 'ka']","['N', 'ima']","['n', 'a']",['mo'],"['p', 'e']","['s', 'kovi']",['Ao'],['podmitLivost']
adaptacija,"['N', 'e']",['d'],"['p', 'cima']","['š', 'cu']","['sac', 'a']",['sli'],"['N', 'ima']","['a', 'ci']",['bom'],['tAk'],['zi'],['Ao'],['talisman']
adekvatnost,['sli'],"['s', 'a']",['dima'],"['p', 'cu']",['ga'],['ge'],['ma'],['tke'],"['s', 'kom']",['sAc'],['čevi'],['ju'],['zelenil']
adherent,"['p', 'a']",['go'],"['dci', 'ma']",['Li'],"['ov', 'a']",['ške'],['čađu'],['Li'],,['Ak'],"['k', 'ci']",['oče'],['nagla']
adicija,['sli'],['Ac'],['ći'],['zi'],"['tac', 'a']","['z', 'a']","['jeli', 'ma']",['he'],['šLu'],['tAk'],['Ludi'],['čoveče'],['estuarij']
adjektiv,['u'],['stAk'],['mima'],['ome'],"['tak', 'a']",['eta'],['lima'],"['h', 'a']",,['stAk'],['evi'],['vo'],['cimer']
adjunkt,"['p', 'a']",['o'],"['s', 'cima']",,['a'],['ve'],['gama'],['sli'],['tkom'],['a'],['ši'],['lu'],['kapij']
administracija,"['s', 'kove']",['d'],['škama'],['oj'],"['ev', 'a']",['eri'],['govima'],['be'],"['p', 'om']",[''],['lovi'],['šče'],['antikvar']
administrativka,['jele'],['ina'],['škama'],"['a', 'ku']","['ac', 'a']",['tke'],['mama'],['šci'],['ri'],['žAc'],"['m', 'a']",['jo'],['tanker']
administrator,"['N', 'e']",['ne'],,['eri'],"['lac', 'a']",['ha'],['lima'],"['p', 'ci']",['gom'],['ko'],"['v', 'a']","['a', 'če']",['ukaz']
admiral,['tke'],"['s', 'c', 'a']",['mama'],['cetu'],"['lak', 'a']","['č', 'ca']",['hovima'],"['p', 'i']","['s', 'cem']",['e'],['ćo'],['ine'],['pregled']
admiralitet,"['l', 'ke']",['vo'],['Lima'],"['š', 'cu']",['ti'],"['L', 'a']",['čađu'],"['m', 'a']",['i'],['z'],['a'],['eri'],['pauz']
admitancija,['ti'],['ku'],"['š', 'cima']",['sli'],"['oc', 'a']",['di'],['dima'],"['p', 'i']","['a', 'om']",['o'],['adi'],['Lo'],['ćebe']
adolescentica,['oce'],"['t', 'k', 'a']",['govima'],"['s', 'ku']","['s', 'kov', 'a']",['ja'],['čevima'],['hovi'],['mo'],"['A', 'm']",['ovi'],['oče'],['prostor']
adopcija,['ri'],['ho'],['erima'],['su'],"['et', 'a']",['me'],['govima'],"['č', 'ci']",['i'],"['p', 'e']",['o'],['tko'],['uzbuđeN']
adoptacija,"['š', 'ce']",['o'],['ovima'],['ci'],"['N', 'a']",['ka'],['vama'],['ke'],['čovekom'],['v'],['sti'],['sli'],['taNur']
adoracija,"['s', 'ce']",['st'],"['ići', 'ma']",['ci'],['e'],['ve'],['lima'],['a'],['i'],['žAc'],"['t', 'a']","['t', 'ku']",['plasman']
adorator,['ti'],['mo'],['govima'],['Lu'],"['s', 'a']",['eta'],"['sci', 'ma']",['jeli'],['li'],['zAk'],['je'],['ho'],['gošć']
adoratorica,['zove'],['g'],"['lci', 'ma']",['oj'],['ava'],['ka'],['vama'],['ća'],"['p', 'em']",['žAc'],['i'],"['pč', 'e']",['flatulencij']
adresa,"['s', 'ce']",['ina'],"['ma', 'a']","['t', 'ku']",['čadi'],['a'],['tkama'],['ge'],['jem'],['bAc'],['lci'],[''],"['objektiviz', 'm']"
adresant,['love'],"['s', 'c', 'a']",['nima'],[''],['će'],['be'],"['a', 'cima']",['sci'],"['k', 'cem']",['sAk'],"['N', 'i']",['Lu'],['resor']
adresar,['eve'],['lAk'],['hama'],[''],['staka'],['ja'],['Lima'],"['t', 'a']",['kom'],['ho'],['e'],['oče'],['inat']
adresat,['iće'],"['š', 'c', 'a']",['ma'],['sli'],"['k', 'a']","['v', 'a']","['s', 'cima']",['a'],['Lu'],['stAk'],['Li'],['ti'],['januar']
adut,['ge'],,['hovima'],['bi'],"['bac', 'a']",['ge'],"['z', 'ima']",['evi'],"['č', 'em']",['l'],['ve'],['eri'],['poveznic']
advent,['oce'],['zAk'],['dima'],['nu'],"['žak', 'a']","['v', 'a']",['dima'],['tke'],"['le', 'm']",['v'],['lovi'],['u'],['opuš']
adventist,['zove'],['zAc'],['tima'],['ri'],"['t', 'a']",['ja'],['erima'],['ovi'],['som'],['vo'],['šci'],['čoveče'],['obadvojic']
adventistica,['gove'],['Ao'],['šima'],['si'],"['ac', 'a']",['tke'],['ma'],['ovi'],['kom'],['stAk'],[''],"['p', 'e']",['tortur']
adverb,"['k', 'ce']",['Ac'],['rima'],"['p', 'u']","['sak', 'a']",['ta'],"['ć', 'cima']",['ši'],['cem'],['c'],['ići'],['ri'],['kovče']
advokat,['e'],['A'],['ma'],['i'],"['dac', 'a']",['di'],"['a', 'cima']","['v', 'a']","['jel', 'om']",['bAc'],"['p', 'i']",['ri'],"['seksualiz', 'm']"
aerobik,['me'],"['š', 'c', 'a']","['s', 'kovima']",['oj'],"['lac', 'a']",['a'],"['z', 'ima']",['si'],['ju'],['Ak'],['ci'],['ško'],['plerom']
aerobiologija,['di'],['šku'],['tkama'],['ku'],"['dac', 'a']",['ka'],['gama'],['ri'],['šLu'],['A'],['he'],['lu'],['sujevjerj']
aerodinamika,['Lude'],['zAc'],"['ići', 'ma']",['u'],['staka'],"['N', 'a']","['sci', 'ma']",['hovi'],"['N', 'em']",['gAc'],['evi'],['gu'],['epigraf']
aerodrom,"['d', 'ke']",['a'],"['š', 'cima']","['l', 'ku']",['i'],"['p', 'ca']",['bama'],['ge'],['gom'],['z'],['lovi'],['šče'],['tvrdN']
aerolit,['čeve'],['dAk'],['vama'],"['a', 'u']",['sti'],"['s', 'a']",['lima'],,,['s'],['sti'],['a'],['stogodišNic']
aeromehaničar,['gove'],"['L', 'a']",['stima'],['Lu'],"['v', 'a']",['eri'],"['jeli', 'ma']",['ši'],,['s'],['ga'],"['pč', 'e']",['rustikalnost']
aerosol,['Lude'],['hu'],"['jeli', 'ma']",['di'],[''],['ške'],"['p', 'cima']",['le'],['cem'],['zAk'],['ke'],['že'],['Lubic']
afekt,['le'],['gu'],['erima'],['lu'],"['ak', 'a']",['he'],['ma'],"['s', 'kovi']","['a', 'om']",['dAk'],"['t', 'a']",['e'],['amandman']
afektacija,"['v', 'a']",['go'],"['p', 'ima']",['zu'],"['a', 'a']",['ve'],"['ć', 'cima']",['Li'],['ma'],['čovek'],['li'],['ce'],['trenir']
afera,['eri'],['u'],['etima'],['sli'],['eri'],['ina'],['ađu'],['čad'],['cetom'],['ce'],"['a', 'ci']",['je'],['dvoglasni']
afereza,['di'],[''],"['s', 'cima']",['di'],"['kov', 'a']",['ške'],['hama'],['le'],['em'],['ma'],[''],['di'],['kavan']
afiks,"['p', 'e']","['s', 'k']","['jeli', 'ma']",['nu'],['adi'],['je'],['dima'],"['p', 'i']",['Lom'],['d'],['zovi'],['me'],['zamer']
afinitet,['love'],['c'],['čadi'],['tu'],"['ba', 'a']",['ga'],"['sci', 'ma']",['ad'],"['p', 'em']","['s', 'k']",['ši'],['sli'],['invencij']
afirmacija,['ga'],['vo'],"['zi', 'ma']","['l', 'ku']","['l', 'a']",['čoveka'],"['N', 'ima']","['a', 'ci']",['nom'],['ka'],['he'],['i'],['gađeN']
aforist,['ga'],['bA'],['etima'],['cetu'],"['j', 'a']",['ma'],['vima'],['sci'],['nom'],['sAc'],['tke'],"['kč', 'e']",['heterogenost']
aforizAm,['čeve'],['stAk'],['hama'],['ri'],"['l', 'a']","['k', 'ca']","['ć', 'cima']","['č', 'ci']",['bom'],['dac'],['zi'],"['pč', 'e']",['juna']
afrikanizAm,[''],['go'],,"['t', 'ku']",['će'],['eta'],['šima'],['lovi'],['som'],[''],"['et', 'a']","['lč', 'e']",['detektor']
afrikata,['Lude'],['bAc'],['lima'],['eri'],"['hov', 'a']","['n', 'a']",['mama'],"['p', 'a']","['s', 'kom']",,"['p', 'a']",['Lo'],['Ludskost']
afrodizijak,['zove'],['žAc'],['cima'],['nu'],[''],['ja'],['ima'],['zovi'],['ri'],['ka'],"['m', 'a']",['sti'],['tapetar']
aga,"['ć', 'ce']","['k', 'a']",['ima'],['cetu'],"['al', 'a']","['a', 'ka']",['slima'],['oci'],"['a', 'kom']",['io'],"['h', 'a']",['Lu'],['kožarnic']
agami,['eri'],['mu'],['bama'],['mu'],"['tak', 'a']",['tke'],"['ići', 'ma']",[''],"['s', 'cem']",['L'],['Li'],['ri'],['gluhoć']
agava,['je'],['ina'],"['ć', 'cima']",['mu'],"['tak', 'a']",['ja'],['ćom'],['Ludi'],['com'],['Ak'],['zi'],"['a', 'u']",['škatul']
agencija,"['c', 'a']",['c'],"['ć', 'cima']",['zi'],"['k', 'a']",['eri'],['vima'],['jeli'],['bom'],,['govi'],['lu'],['kotačić']
agent,"['s', 'ke']",['je'],"['šci', 'ma']",['ti'],"['sak', 'a']",['li'],['zovima'],['be'],"['zo', 'm']",['s'],"['ć', 'ci']",['jo'],['Denaz']
agitacija,"['t', 'a']","['t', 'k', 'a']",['ovima'],['ma'],['di'],['ti'],['jama'],"['t', 'a']",['šLu'],['st'],"['k', 'ci']",['me'],['aglutinacij']
agitator,['i'],"['s', 'a']",['slima'],['nu'],"['s', 'kov', 'a']",['ta'],['adi'],['šci'],"['p', 'cem']",,"['N', 'i']","['a', 'če']","['krokan', 't']"
aglomeracija,"['s', 'kove']",['ce'],['ocima'],,"['a', 'a']","['jel', 'a']","['s', 'cima']",['lovi'],['Lom'],['ka'],['ške'],['eri'],['bubNišt']
aglomerat,"['s', 'ke']",['ta'],['Lima'],"['s', 'ku']","['c', 'a']","['z', 'a']",['tkama'],['a'],['jom'],['tAk'],"['ć', 'ci']",['i'],['agilnost']
aglutinacija,['ce'],['Ac'],['adi'],['eri'],,"['p', 'a']","['s', 'cima']",['ji'],['škom'],['gAc'],['me'],"['pč', 'e']",['garancij']
agnosticizAm,['li'],['go'],['gama'],"['p', 'cu']",['čadi'],['tke'],['slima'],['sli'],['com'],['tAc'],"['k', 'ci']","['lč', 'e']",['polovic']
agnostik,['li'],['čoveka'],"['sci', 'ma']",['i'],['adi'],['ina'],['lima'],['ad'],,['A'],['čadi'],[''],['sniježeN']
agnostičar,['ši'],['i'],"['k', 'cima']","['s', 'cu']","['gov', 'a']",['sli'],"['k', 'cima']",['le'],"['N', 'em']",['vo'],['Ludi'],['ine'],['kozičavost']
agnostičarka,['čeve'],['a'],['ocima'],"['a', 'ku']",['ti'],['sti'],['mama'],"['j', 'a']",['i'],"['šk', 'a']","['c', 'a']",['u'],['cak']
agonija,"['s', 'ke']",['bA'],['ima'],['mi'],['gu'],['i'],['Ludima'],"['n', 'a']",['eri'],"['šk', 'a']",,['vo'],['pločni']
agresija,"['m', 'a']",['stAk'],"['s', 'cima']",['ju'],,['ške'],['im'],['je'],['tkom'],['st'],['sci'],['gu'],['pogreb']
agresivnost,"['l', 'ke']",['lAk'],"['šci', 'ma']",,['ama'],"['a', 'ka']","['š', 'cima']",['tke'],['u'],['d'],"['m', 'a']",['o'],['ždrel']
agresor,['oce'],['r'],"['s', 'kovima']",['jelu'],"['t', 'a']",['eta'],['kima'],"['k', 'ci']","['a', 'kom']",['ce'],"['a', 'ci']",['ko'],['veseLa']
agrikultura,['li'],['lAk'],['hama'],['vu'],"['žak', 'a']",['ha'],['rima'],['kovi'],['nom'],['d'],['šci'],['hu'],['kolovoz']
agronom,"['š', 'ce']",['tAc'],['stima'],['gu'],"['n', 'a']",['be'],['stima'],"['n', 'ovi']","['l', 'kom']",['ka'],['sli'],['Lo'],"['pet', 'L']"
ajatolah,['be'],[''],['stima'],['lu'],['iju'],"['N', 'a']","['ma', 'a']","['j', 'a']","['p', 'om']",['sAc'],['šci'],"['p', 'e']",['voskar']
ajkula,"['a', 'ke']",[''],"['zi', 'ma']","['s', 'ku']","['c', 'a']",['ta'],['tima'],['ke'],['som'],['A'],['di'],['oče'],['hispanisti']
ajvar,"['s', 'kove']",['ta'],['etima'],['jelu'],['ju'],['tke'],"['š', 'cima']",['si'],['hom'],"['p', 'e']",['u'],['sti'],['iskLučivost']
akademija,['iće'],['sAk'],['jima'],['ocu'],"['t', 'a']",['je'],['erima'],['ti'],['đu'],['ce'],['ga'],['tko'],"['trav', 'N']"
akademik,"['v', 'a']",['zAk'],['Lama'],['tu'],"['l', 'a']",['ve'],"['mi', 'a']","['n', 'ovi']",['Lu'],['je'],['jeli'],['te'],['prostitucij']
akceleracija,"['k', 'ce']","['L', 'a']",['adi'],"['s', 'cu']",['čadi'],['ca'],"['scim', 'a']",['čevi'],"['s', 'com']",['zAc'],"['t', 'a']",['jele'],['trijumf']
akcelerator,['ce'],['vo'],['tima'],['i'],['ga'],"['v', 'a']",['kovima'],['a'],"['jel', 'om']",['tac'],['ge'],['je'],['fizičar']
akcenAt,['ću'],['Ac'],"['ma', 'a']","['a', 'u']",['daka'],['le'],['vima'],['ad'],"['p', 'em']",['o'],['ri'],['di'],['švrakopis']
akcent,['ši'],['Ac'],"['p', 'cima']",['zu'],['čadi'],['ve'],"['s', 'kovima']",['sci'],"['a', 'kom']",['ga'],['sci'],['hu'],['gradonačelni']
akceptor,"['a', 'ke']",['žAc'],['ocima'],['su'],"['s', 'a']",['eri'],"['š', 'cima']","['s', 'kovi']",['im'],['Ao'],"['et', 'a']",['sli'],['razvrat']
akcija,"['c', 'a']",['er'],"['ć', 'cima']",,"['gac', 'a']",['ge'],['mama'],"['t', 'a']",['cem'],['lAc'],['ji'],['vo'],['monoftongizacij']
aklamacija,['oce'],"['k', 'c', 'a']",['mima'],"['a', 'ku']","['s', 'kov', 'a']",['ma'],"['ići', 'ma']","['v', 'a']",['li'],['c'],['li'],['i'],"['alfabetiz', 'm']"
aklimatizacija,['zove'],['Lu'],['hovima'],['vu'],['sti'],['a'],['škama'],['ši'],['etom'],"['j', 'a']",['je'],['mo'],['obzorj']
akomodacija,"['p', 'a']",['tku'],"['ma', 'a']",['sli'],['a'],"['n', 'a']",['etima'],['tke'],['cem'],['lAc'],['ške'],['sli'],['arheolo']
akontacija,"['c', 'a']","['j', 'a']",['lima'],['Li'],"['N', 'a']","['š', 'ka']",['Lama'],['zovi'],['ma'],['h'],['ke'],"['a', 'če']",['leksikolo']
akord,['be'],['t'],['kama'],['cetu'],"['v', 'a']","['jel', 'a']",['Lima'],['i'],[''],['i'],['o'],['i'],['dupin']
akra,['zove'],['žAk'],['jima'],['i'],"['lov', 'a']","['v', 'a']",['hama'],['sti'],"['č', 'em']",['s'],['ge'],['ko'],"['demonstran', 't']"
akreditiv,"['p', 'a']",['sAo'],['lima'],['Lu'],"['s', 'a']","['š', 'ca']",['cima'],['sli'],['li'],['ćAc'],['jeli'],['že'],['akumulacij']
