,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abonner,"['v', 'ɔ̃']","['Ø', 'ɔ̃']","['ɔ', 'ʁ']",['sisjɔ̃'],['kʁE'],['ɔlv'],['jit'],"['O', 'a']","['O', 'ʁisje']","['dʁi', 'je']","['i', 'ʁE']",['Eɲis'],"['tʁ', 'ɔ̃']",['waʁa'],['Olys'],['ʁ'],['a'],['E'],"['waE', 'jɔ̃']",['uly'],['yvE'],['E'],"['aɲ', 'iʁ']",['ɔ̃'],[nan],"['m', 'E']",['Eɲi'],"['Oʁ', 'ɔ̃']",['pʁE'],"['E', 'əʁ', 'e']",['Øvʁa'],['əzje'],['i'],"['ə', 'E']","['E', 'e']",['d'],['z'],"['ɔ', 'əʁjɔ̃']","['aɲ', 'isjɔ̃']","['O', 'ʁiʁE']","['ɔlv', 'e']","['Ø', 'am']","['es', 'e']","['ij', 'ije', 'je']",['uly'],['zɑ̃'],['e'],"['t', 'is']","['ɔ', 'əʁE']",['p'],['jɛn'],['alym']
abonnir,"['E', 'jɔ̃']","['Ez', 'ɔ̃']","['v', 'E']","['əv', 'jɔ̃']","['Eʁ', 'E']",['i'],['akit'],['ji'],"['isje', 'v']",['tiʁje'],['səʁE'],"['e', 'as']",[nan],['kʁa'],"['O', 'as']",['aɲ'],[''],['ɛ'],"['t', 'jɔ̃']","['e', 'E', 'E']","['E', 'E']",['avE'],['ɥEʁ'],['jɛʁ'],['ɛ'],['lE'],['ɛ̃'],"['udʁ', 'ɔ̃']","['y', 'ʁE']",['Odʁe'],['ivʁa'],['zje'],"['v', 'a']","['Eɲ', 'E']",['ʁiʁ'],"['al', 'e']",['vi'],"['œ', 'əʁjɔ̃']",['tisjɔ̃'],['waʁE'],"['ɥ', 'e']","['O', 'am']","['əɛ', 'əɛzt', 'zt', 'e']","['u', 'je']","['wa', 'je']",['jɑ̃'],"['O', 'ʁt']",['ys'],['iʁE'],['l'],['aʃ'],['fuʁaʒ']
aborder,"['m', 'ɔ̃']","['Ez', 'ɔ̃']",['ɛ̃'],"['d', 'jɔ̃']","['jwa', 'jwaEʁ', 'E']",['v'],['alat'],"['ə', 'a']","['jas', 'je']",['ivʁije'],"['i', 'ʁE']","['j', 'as']","['Odʁ', 'ɔ̃']",['kʁa'],"['is', 'v']","['a', 'j']",['aly'],['E'],"['z', 'jɔ̃']",['Eɲi'],"['z', 'E']","['ə', 'E']","['O', 'ʁiʁ']",['œv'],"['Ew', 'Ewa']",['wE'],['ɥa'],"['i', 'ʁ', 'ɔ̃']","['ɛ', 'əʁE']","['Etiʁ', 'e']","['ɛ', 'əʁa']",[nan],['ɛ'],"['waE', 'jE']","['ɛ̃d', 'ʁ']",['je'],['i'],['jiʁjɔ̃'],"['Ø', 'asjɔ̃']",['OdʁE'],"['ən', 'e']",['jam'],"['iv', 'e']","['wEa', 'Ea', 'je']",['i'],"['E', 'jɑ̃']",['mi'],"['t', 'is']",['oʁE'],['sis'],['u'],['bip']
aboucher,"['s', 'ɔ̃']","['ø', 'ɔ̃']",[''],"['wa', 'jɔ̃']",['EtiʁE'],['t'],['ulyt'],['ly'],"['jas', 'je']",['səʁje'],['jiʁE'],[nan],"['səʁ', 'ɔ̃']","['E', 'əʁa']","['t', 'is']",['ɛs'],['aly'],['o'],"['O', 'ʁi', 'jɔ̃']",['uly'],"['wEa', 'Ea', 'jE']",['E'],"['e', 'Eʁ']",['aɲ'],['i'],"['Eʁ', 'E']",['fy'],"['œ', 'əʁ', 'ɔ̃']",['ʁiʁE'],"['əʁ', 'e']","['Eʁ', 'ʁa']","['was', 'je']",['jɛ̃'],['E'],"['Ø', 'iʁ']",['k'],"['v', 'i']","['vʁi', 'jɔ̃']","['e', 'E', 'asjɔ̃']",['pʁE'],['ue'],"['Ø', 'im']","['e', 'v']","['d', 'je']","['wa', 'je']",['aʃɑ̃'],['i'],['as'],"['waʁ', 'E']",['jɛn'],['y'],['tʁis']
abouler,"['Ez', 'ɔ̃']",['sɔm'],"['v', 'E']","['ə', 'n', 'jɔ̃']","['ud', 'ʁE']","['ɛ', 'j']",['ɛ̃t'],['uly'],"['Eɲ', 'isje']","['uvʁij', 'e']",['səʁE'],"['O', 'ʁis']","['ʁiʁ', 'ɔ̃']","['Eʁ', 'a']",['was'],['aʃ'],['i'],['je'],['zjɔ̃'],['zizi'],['ɔlvE'],"['O', 'E']","['Ø', 'Eʁ']",['ɛ'],['E'],['yvE'],['vi'],"['Etiʁ', 'ɔ̃']",['ɛ̃dʁE'],"['ud', 'ʁe']",['jiʁa'],"['e', 'je']","['ou', 'oulv']","['was', 'E']",['avwaʁ'],"['o', 'e']",['je'],"['od', 'ʁ', 'jɔ̃']",['alysjɔ̃'],['tʁE'],"['tz', 'tz', 'e']","['ø', 'am']","['Øv', 'e']","['t', 'je']",['p'],['əzɑ̃'],"['E', 'e']",['ys'],['jiʁE'],['aj'],"['wE', 'aj', 'aj']",['dEnazif']
aboutir,"['v', 'ɔ̃']","['Es', 'ɔ̃']",['ø'],['yvjɔ̃'],['jiʁE'],['as'],"['d', 'it']",['ʁi'],['visje'],"['tʁi', 'je']","['ʁ', 'E']","['O', 'ʁis']","['tiʁ', 'ɔ̃']","['ud', 'ʁa']","['j', 'as']",['ɔlv'],['Eɲi'],['wa'],['ɔ̃'],['wE'],"['d', 'E']","['ul', 'E']",['jEʁ'],['s'],['a'],['EzE'],"['ø', 'a']","['tʁ', 'ɔ̃']","['Eʁ', 'E']","['i', 'ʁe']","['od', 'ʁa']","['ø', 'je']",['s'],"['z', 'E']","['Ø', 'e']",['ʁ'],['je'],['Etiʁjɔ̃'],['tisjɔ̃'],"['Odʁ', 'E']","['e', 'e']",['lym'],[nan],"['Øvj', 'e']",['Oly'],['Etɑ̃'],"['ɥ', 'e']",['fys'],"['ud', 'ʁE']",['ɛ'],['v'],['paʁk']
aboyer,"['o', 'ɔ̃']","['ə', 'ɔ̃']","['v', 'E']",['ɔ̃'],"['Eʁ', 'ʁE']",['œv'],"['wa', 'jat']",['ʁi'],"['v', 'isje']",['jɛ̃dʁije'],"['Øv', 'ʁE']",['tis'],"['y', 'ʁ', 'ɔ̃']","['uv', 'ʁa']",['Etis'],['ɔ'],"['E', 'a']",[''],"['Eʁ', 'jɔ̃']",['vi'],"['ə', 'E']","['t', 'E']",['wEʁ'],['y'],"['ɔ', 'ʁ']","['Øv', 'E']","['Ø', 'i']","['Ø', 'əʁ', 'ɔ̃']",['jɛ̃dʁE'],['dʁe'],['waʁa'],['zje'],['o'],"['t', 'E']",['ɛ̃dʁ'],['mi'],['p'],"['ʁ', 'jɔ̃']","['p', 'isjɔ̃']",['tʁE'],['te'],['Ekym'],"['Ø', 'e']","['waE', 'je']",['oz'],['alɑ̃'],['ɛt'],"['Eɲ', 'is']",['səʁE'],['ɛn'],['iv'],['ɑ̃dimɑ̃ʃ']
abreuver,"['p', 'ɔ̃']",['wɔ̃'],"['v', 'E']",['sjɔ̃'],['EʁE'],['ɛz'],"['ø', 'at']",['mi'],"['isje', 'v']",['waʁje'],"['jwa', 'jwaEʁ', 'E']","['v', 'is']","['od', 'ʁ', 'ɔ̃']",['miʁa'],"['wa', 'jas']",['jɛʁ'],['Eti'],['ɛ̃'],"['ən', 'jɔ̃']","['Eɲ', 'i']",['uE'],"['Øv', 'E']",['ziziʁ'],['œv'],['ø'],"['E', 'E']","['ə', 'a']","['jwa', 'jwaEʁ', 'ɔ̃']",['watʁE'],"['O', 'ʁiʁ', 'e']",['vʁa'],"['ə', 'n', 'je']","['E', 'ɛ']",['avE'],['udʁ'],"['ə', 'e']",['Oly'],"['dʁi', 'jɔ̃']",['Olysjɔ̃'],['ɛ̃dʁE'],"['ø', 'e']",['alam'],"['oz', 'e']","['əv', 'je']","['w', 'e']",['ɑ̃'],[''],['ys'],"['uv', 'ʁE']",['p'],['wav'],['dEvɛʁs']
abriter,"['Eʁ', 'ɔ̃']","['ə', 'ɔ̃']","['ɔ', 'ʁ']","['l', 'jɔ̃']","['y', 'ʁE']",['iv'],[nan],['aki'],"['O', 'asje']","['ʁj', 'e']",['kʁE'],['is'],"['uv', 'ʁɔ̃']","['u', 'ʁa']","['d', 'is']","['E', 'ɛ']","['E', 'a']",['ɔ'],['ɔ̃'],['i'],['EzE'],"['Eʁ', 'E']","['ə', 'Eʁ']",['ɛ'],"['Ew', 'Ewa']","['w', 'E']",['aly'],"['i', 'ʁ', 'ɔ̃']",['uvʁE'],"['Oʁ', 'e']","['Odʁ', 'a']","['O', 'je']",[''],"['p', 'E']","['O', 'ʁiʁ']","['O', 'e']",['ly'],['ʁjɔ̃'],"['aɲ', 'isjɔ̃']",['waʁE'],"['e', 'E', 'e']",['jim'],"['oz', 'e']","['ʁi', 'je']","['j', 'e']","['e', 'ɑ̃']",['ti'],['Ekys'],['EʁE'],['t'],['wa'],['aʁɑ̃g']
abroger,"['Et', 'ɔ̃']","['Es', 'ɔ̃']","['ɥiø', 'ɥiø']","['Eʁ', 'jɔ̃']","['wj', 'wjEa', 'Eaʁ', 'E']","['waE', 'j']",['alat'],"['j', 'a']",['alysje'],['jɛ̃dʁije'],"['ɔ', 'əʁE']","['p', 'is']","['Oʁ', 'ɔ̃']","['uv', 'ʁa']","['Eɲ', 'is']",['d'],['Eky'],[nan],"['Ø', 'ɔ̃']",['ɥE'],"['m', 'E']",['sE'],['ziʁ'],['p'],"['ɔ', 'ʁ']",['EjE'],['ɛ̃'],"['Øv', 'ʁɔ̃']",['pʁE'],['pʁe'],"['Eʁ', 'ʁa']","['y', 'je']",['E'],['sE'],['watʁ'],[''],"['ə', 'n']",['jɛ̃dʁijɔ̃'],"['t', 'isjɔ̃']","['uv', 'ʁE']","['z', 'e']",['tim'],"['əɛ', 'əɛzt', 'zt', 'e']","['ɔlv', 'je']",['ʁt'],['əvɑ̃'],"['Ø', 'e']",['Etis'],['watʁE'],['ɛɲ'],['ɛ'],"['ʁɑ̃bl', 'j']"
abrutir,"['s', 'ɔ̃']","['oz', 'ɔ̃']",['jɛʁ'],"['y', 'jɔ̃']","['u', 'ʁE']",['E'],"['e', 'E', 'at']","['e', 'a']","['e', 'E', 'asje']","['kʁi', 'je']","['i', 'ʁE']",['akis'],"['jwa', 'jwaEʁ', 'ɔ̃']","['əi', 'əiʁa']","['e', 'E', 'as']",['iv'],"['O', 'ʁi']","['ɔ', 'ʁ']","['waE', 'jɔ̃']","['i', 'v']","['Eʁ', 'E']","['al', 'E']","['u', 'yʁ']",['ɛɲ'],['y'],"['O', 'E']",['zi'],"['kʁ', 'ɔ̃']","['od', 'ʁE']",['Øvʁe'],"['e', 'E', 'əʁa']","['al', 'je']",['jɛʁ'],"['w', 'E']",['e'],['d'],['ly'],['Øvʁijɔ̃'],['sjɔ̃'],"['Øv', 'ʁE']","['Eʁ', 'e']",['fym'],"['ə', 'n', 'e']","['u', 'je']",['t'],"['O', 'ʁɑ̃']",['vi'],"['k', 'is']","['jwa', 'jwaEʁ', 'E']",['ɛz'],['ɛs'],"['ɑ̃bisj', 'n']"
abréger,"['l', 'ɔ̃']","['Øv', 'ɔ̃']",['ʁ'],"['swa', 'jɔ̃']","['Øv', 'ʁE']","['a', 'j']","['u', 'yt']",['ti'],['tisje'],['əvʁije'],['udʁE'],"['t', 'is']","['ɛ̃dʁ', 'ɔ̃']","['waE', 'waEʁa']",['Eɲis'],['ɛɲ'],"['al', 'a']",['u'],"['O', 'jɔ̃']","['p', 'i']","['al', 'E']","['ø', 'E']","['k', 'iʁ']",['œ'],['je'],['jE'],"['t', 'i']","['jiʁ', 'ɔ̃']","['y', 'ʁE']","['e', 'E', 'əʁ', 'e']","['œ', 'əʁa']","['j', 'e']",['ɑ̃'],['ozE'],['Eʁiʁ'],"['Ø', 'e']",['e'],"['Ø', 'əʁjɔ̃']","['ys', 'jɔ̃']",['ɑ̃dʁE'],"['u', 'e']","['o', 'am']","['əɛ', 'əɛzt', 'zt', 'e']","['k', 'je']","['j', 'e']",[nan],"['Ø', 'e']","['Ø', 'is']",['OdʁE'],['aʃ'],['œ'],['vuvwa']
absenter,"['al', 'ɔ̃']","['wa', 'jɔ̃']",['je'],['yvjɔ̃'],"['Eʁ', 'ʁE']",['iz'],"['o', 'at']","['j', 'a']","['e', 'asje']","['vʁi', 'je']","['Øv', 'ʁE']",['fys'],['Eʁɔ̃'],['yəʁa'],['mis'],['y'],"['e', 'a']",['ɥis'],['ozjɔ̃'],['ji'],"['ə', 'n', 'E']","['al', 'E']","['v', 'iʁ']",['œ'],['E'],"['Øv', 'E']","['o', 'a']","['Etʁ', 'ɔ̃']","['iʁ', 'E']","['Oʁ', 'e']",['tiʁa'],"['ø', 'je']",['ɑ̃'],['tE'],"['wa', 'ʁ']",['je'],"['ə', 'n']","['ʁj', 'ɔ̃']",['Olysjɔ̃'],['OdʁE'],"['əv', 'e']","['d', 'im']","['es', 'e']","['v', 'je']","['ə', 'e']",['tɑ̃'],"['Et', 'e']","['p', 'is']",['jɛ̃dʁE'],['ɛs'],"['E', 'ɛ']","['bOst', 'n']"
absorber,"['m', 'ɔ̃']","['e', 'ɔ̃']","['ɥiø', 'ɥiø']","['Eɲ', 'ɔ̃']",['jiʁE'],['j'],"['ə', 'at']",['Oly'],['uasje'],"['udʁi', 'je']","['Eʁ', 'ʁE']","['E', 'as']","['œ', 'əʁ', 'ɔ̃']",['aʁa'],['mis'],['wav'],['ja'],['ɛ'],['uvjɔ̃'],"['v', 'i']",['yvE'],"['Eʁ', 'E']","['O', 'ʁiʁ']",['was'],['ʁ'],"['Es', 'E']","['i', 'v']","['Oʁ', 'ɔ̃']","['i', 'ʁE']","['oʁ', 'e']","['jwa', 'jwaEʁa']","['E', 'je']",['i'],['zE'],"['ø', 'e']",['t'],[nan],['Oʁjɔ̃'],['sjɔ̃'],"['jɛ̃d', 'ʁE']","['ɥisj', 'e']",['ɛ̃m'],['Eɲe'],"['v', 'je']",['aly'],"['waE', 'jɑ̃']","['al', 'e']","['O', 'ʁis']",['jiʁE'],['j'],"['wE', 'aj', 'aj']",['ɛ̃vɑ̃tOʁ']
absoudre,"['Et', 'ɔ̃']","['s', 'ɔ̃']",['ɛ'],"['e', 'jɔ̃']",['dʁE'],['oz'],"['tz', 'tzizit']",['Eɲi'],"['s', 'je']",['tiʁje'],['vʁE'],"['O', 'as']","['i', 'ʁ', 'ɔ̃']",['tʁa'],['Olys'],"['ɛ', 'j']",['vi'],"['v', 'a']","['O', 'ɔ̃']",['zizi'],['lE'],"['O', 'E']","['u', 'yʁ']",['iz'],['E'],"['t', 'E']","['E', 'a']","['œ', 'əʁ', 'ɔ̃']",['EtiʁE'],"['aʁ', 'e']",['iʁa'],"['ul', 'je']","['ou', 'oulv']","['w', 'E']","['j', 'e']",['ʁ'],['z'],"['ɑ̃dʁi', 'jɔ̃']",['uasjɔ̃'],"['ɛ̃d', 'ʁE']","['uv', 'e']",['alym'],"['ən', 'e']","['əv', 'je']",[nan],"['wEa', 'Ea', 'jɑ̃']","['al', 'e']",['zis'],['oʁE'],"['sw', 'a']",['m'],['lEsiv']
